,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.9040047964392154,0.9297789422850248,0.643812281264329,-0.1968970629863765,exp,1.021407079454693,1,delaunay,uniform,5000,,
pagerank,0.9113453993474401,0.9307488414249244,0.7547901929796965,-0.23679381050867876,exp,1.0152582273559063,1,delaunay,uniform,5000,,
betweenness,0.3801048315154705,0.540844593595898,0.3730169955475833,-0.12718599369166295,exp,1.3566706899128,1,delaunay,uniform,5000,,
closeness,0.2541523639207345,0.26809394666955144,0.4042964103096845,-0.33776334935195707,exp,1.7430894840802933,1,delaunay,uniform,5000,,
harmonic,0.3902330998614015,0.5537142403264899,0.4188889659634243,-0.6122019661541598,exp,1.5562581583531603,1,delaunay,uniform,5000,,
clustering,0.9253328445671047,0.9253328445671047,0.6569912572717745,0.22807403141102925,original,1.0,1,delaunay,uniform,5000,,
degree,0.9584613695395219,0.9742754103263701,0.6587982403294951,-0.1820496666348542,pieli,1.0171632518631335,2,delaunay,uniform,5000,,
pagerank,0.9634775013497037,0.9764993123650532,0.7895095245701338,-0.2412466863107598,exp,1.0139432546907925,2,delaunay,uniform,5000,,
betweenness,0.6009656298355807,0.7210000360721851,0.5974091005640141,-0.06533639318030246,pieli,1.2002549227795198,2,delaunay,uniform,5000,,
closeness,0.43601394566504487,0.6374247056656737,0.417807340383158,-0.3621799918924995,exp,2.87807603873943,2,delaunay,uniform,5000,,
harmonic,0.4486429175063315,0.7201836610483761,0.4156389049740473,-0.7894940155207707,exp,2.3385392964057865,2,delaunay,uniform,5000,,
clustering,0.9768198285783719,0.9768198285783719,0.6858704773116323,0.2366908170175276,original,1.0,2,delaunay,uniform,5000,,
degree,0.9417996143509202,0.9555930727658825,0.2716404523457494,0.5464026508198412,pieli,1.0097202608077378,1,knn,uniform,5000,5.0,
pagerank,0.940419323537182,0.9514185534109307,0.06822978265811375,0.6522162246358962,pieli,1.007353444279429,1,knn,uniform,5000,5.0,
betweenness,0.710379362289504,0.7823299967731963,0.6514313114972545,0.3299585083026863,pieli,1.0983511030098463,1,knn,uniform,5000,5.0,
closeness,-0.02776249273305423,0.5643617892804897,0.43903244359615934,0.5604104650329982,pieli,4.240894788219248,1,knn,uniform,5000,5.0,
harmonic,0.3561504498876436,0.8014064218228667,0.5421406064207646,0.7516844637757585,pieli,2.6475073674590948,1,knn,uniform,5000,5.0,
clustering,0.92879062966458,0.9448642226448998,0.35592765592404846,0.5625567327140486,exp,1.0180271275642248,1,knn,uniform,5000,5.0,
degree,0.976647613082905,0.9827560667332997,0.20597674299980884,0.5384384764008154,pieli,1.0051909189988797,2,knn,uniform,5000,5.0,
pagerank,0.97511298983969,0.980095233019664,0.023736851159301107,0.6420013393113859,pieli,1.0043633207310558,2,knn,uniform,5000,5.0,
betweenness,0.8813013310882096,0.8849949012325824,0.7972538545106486,0.08408276449838242,pieli,1.004227496356969,2,knn,uniform,5000,5.0,
closeness,0.3117366882789401,0.8688552656721216,-0.03178475533794013,0.09197760004737612,pieli,3.7669085172009282,2,knn,uniform,5000,5.0,
harmonic,0.449168420479782,0.9537212476799998,0.48678995379058987,0.5353666131827883,exp,2.096358005143711,2,knn,uniform,5000,5.0,
clustering,0.9727505367061322,0.9786129496216415,0.36750612966464813,0.5220395881496651,pieli,1.0040559761277899,2,knn,uniform,5000,5.0,
degree,0.872862412752778,0.9124065832272388,0.12226149662413809,0.6052611932124075,pieli,1.0533736088039793,1,knn,uniform,5000,10.0,
pagerank,0.86473607566718,0.9008931139413263,-0.1463352181187435,0.7232287340423478,pieli,1.0462025827819579,1,knn,uniform,5000,10.0,
betweenness,0.6438274793953808,0.7239672625673204,0.6497286557610574,0.5665708145630324,pieli,1.0809409175155815,1,knn,uniform,5000,10.0,
closeness,-0.26505038747758125,0.47836600252538275,0.6494399040954845,0.9797974619864259,pieli,5.276356146348113,1,knn,uniform,5000,10.0,
harmonic,-0.02143788398969853,0.774492903609989,0.6218130692669889,0.9170404990536676,exp,3.443526900039826,1,knn,uniform,5000,10.0,
clustering,0.8343175600757102,0.9134010401177275,0.2762017019103657,0.783903002340142,pieli,1.0855048505153695,1,knn,uniform,5000,10.0,
degree,0.9524161461960782,0.9711222963347041,0.09903504966744722,0.6438427880402211,pieli,1.0206173780907282,2,knn,uniform,5000,10.0,
pagerank,0.9481596851210248,0.9659976770496761,-0.19393628645847721,0.7311176451071768,pieli,1.0202361837869423,2,knn,uniform,5000,10.0,
betweenness,0.8119773116921368,0.8162844627427952,0.7400634711183207,0.18987258045309954,pieli,1.0036984344010893,2,knn,uniform,5000,10.0,
closeness,-0.09141818485151752,0.6491660658565166,0.5779277396224437,0.9523938378656682,pieli,5.7024748894651935,2,knn,uniform,5000,10.0,
harmonic,0.10234966366895876,0.8777078872823576,0.6795313824749932,0.877920835228258,exp,3.4706638136674433,2,knn,uniform,5000,10.0,
clustering,0.9293958290286898,0.970379205760161,0.24885877513435153,0.7616118257013513,exp,1.0422780368578657,2,knn,uniform,5000,10.0,
degree,0.8054326020160208,0.8888107717863946,-0.0060661454918224614,0.6790279302130311,pieli,1.0782775137798903,1,knn,uniform,5000,15.0,
pagerank,0.7895616459955543,0.8648110718685778,-0.28430151543509263,0.7741365382836263,pieli,1.0713561605153328,1,knn,uniform,5000,15.0,
betweenness,0.7228324514224373,0.7842927033062447,0.7356703541035647,0.5155672616864764,pieli,1.1098318502901359,1,knn,uniform,5000,15.0,
closeness,0.0846182688554316,0.5445137811221769,0.6228420364676021,0.9741192351543764,pieli,5.2108145960395325,1,knn,uniform,5000,15.0,
harmonic,0.2828141404295389,0.6484530558623394,0.6316314470418951,0.8957581293577417,pieli,4.129871450869886,1,knn,uniform,5000,15.0,
clustering,0.7350097027245214,0.8928659833105269,0.13734265966305068,0.8245378133626207,pieli,1.1800413202366475,1,knn,uniform,5000,15.0,
degree,0.9197073187699283,0.9539979242373887,0.08134888727086748,0.6660638520430937,pieli,1.0351118166869715,2,knn,uniform,5000,15.0,
pagerank,0.9140223316400911,0.9459773714273034,-0.2725662324224127,0.7626268264842426,pieli,1.0323264732455377,2,knn,uniform,5000,15.0,
betweenness,0.7135168724462928,0.7471397090393752,0.6370688629672963,0.24392824934982985,pieli,1.042382266830382,2,knn,uniform,5000,15.0,
closeness,0.19311453502861353,0.7095074227193356,0.3772933774439228,0.969607359638533,pieli,5.2860361626199275,2,knn,uniform,5000,15.0,
harmonic,0.23762719229328566,0.8757843377450343,0.5714005180234216,0.8960355657441036,exp,4.153199595953666,2,knn,uniform,5000,15.0,
clustering,0.9032633430154451,0.9683629064136823,0.16055981932009927,0.8527327940700057,pieli,1.0767997124382414,2,knn,uniform,5000,15.0,
degree,0.9976198255172457,0.994047807765711,0.8644025180594107,0.2849672090586097,pieli,1.0036151409396936,1,rnn,uniform,5000,,1.0
pagerank,0.9964795826027784,0.9948012806077844,0.821311229906431,0.22180944466621366,original,1.0,1,rnn,uniform,5000,,1.0
betweenness,0.993809255130326,0.993809255130326,0.7064857606615412,0.2199377552820346,original,1.0,1,rnn,uniform,5000,,1.0
closeness,0.9935186828094232,0.9935186828094232,-0.0014219718687562572,-0.0014264637091938128,original,1.0,1,rnn,uniform,5000,,1.0
harmonic,0.9963369371023721,0.9925777711565629,0.5540513916015088,0.4227179945744063,pieli,1.002974310937489,1,rnn,uniform,5000,,1.0
clustering,0.9915452097123179,0.9846381687719834,0.9915452097123179,,pieli,1.001303585102899,1,rnn,uniform,5000,,1.0
degree,0.9986134980784129,0.9986134980784129,0.7649218160698859,0.5142949784772568,original,1.0,2,rnn,uniform,5000,,1.0
