,data_source,node density in ROI,% new edges,P,border_size,P_adj
glioma_mibitof:Brainiaqc_R1C1_whole_cell.tiff,glioma_mibitof,0.00011517088480032248,4.788732394366197,2.421962074293223e-27,0.125,2.713953196274753e-27
glioma_mibitof:Brainiaqc_R1C2_whole_cell.tiff,glioma_mibitof,0.0013269021325264159,1.6937914406268837,8.205697431656689e-173,0.125,2.669415945735817e-171
glioma_mibitof:Brainiaqc_R1C3_whole_cell.tiff,glioma_mibitof,0.0009827894336466045,2.0140247879973905,6.25650118360814e-132,0.125,7.157162343006674e-131
glioma_mibitof:Brainiaqc_R1C4_whole_cell.tiff,glioma_mibitof,0.00044846673539958987,2.936436884512086,2.8602598417181125e-75,0.125,8.293956811221602e-75
glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,glioma_mibitof,8.438392522286011e-05,5.700483091787439,2.9018379280716586e-26,0.125,3.2034075112646836e-26
glioma_mibitof:Brainiaqc_R2C2_whole_cell.tiff,glioma_mibitof,0.0006220981543302252,2.5380056686421026,3.395915253213e-101,0.125,2.1042546301159126e-100
glioma_mibitof:Brainiaqc_R2C3_whole_cell.tiff,glioma_mibitof,0.0017904917767022962,1.3002735058063937,1.3178313260797598e-172,0.125,4.157158819542514e-171
glioma_mibitof:Brainiaqc_R2C4_whole_cell.tiff,glioma_mibitof,0.0014681876668395076,1.6922321087395602,4.613436391785467e-180,0.125,1.9210349135394684e-178
glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,glioma_mibitof,5.176438297457406e-05,7.667731629392971,1.4247542064468408e-21,0.125,1.4951301702733481e-21
glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,glioma_mibitof,0.0003501398041087707,3.0059660394676455,6.629433984033831e-64,0.125,1.523452710238238e-63
glioma_mibitof:Brainiaqc_R3C2_whole_cell.tiff,glioma_mibitof,0.000604774047498853,2.1886191802626342,5.71052563947426e-90,0.125,2.5513550174646802e-89
glioma_mibitof:Brainiaqc_R3C3_whole_cell.tiff,glioma_mibitof,0.0020705114321364843,1.3633554765950873,9.72630445862714e-216,0.125,1.0125082941430852e-212
glioma_mibitof:Brainiaqc_R3C4_whole_cell.tiff,glioma_mibitof,0.0008401641112573841,2.1355705977690915,1.7466668325110936e-120,0.125,1.6529819751309532e-119
glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,glioma_mibitof,0.00022364425557864175,4.279036317871269,1.0958335496121214e-57,0.125,2.1728813812308923e-57
glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,glioma_mibitof,0.00036374804449435183,2.958710532126297,4.545217637128739e-72,0.125,1.2321800938153691e-71
glioma_mibitof:Brainiaqc_R4C3_whole_cell.tiff,glioma_mibitof,0.0004772573229170485,3.1076768016126324,1.1049286524193966e-75,0.125,3.2492393422841574e-75
glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,glioma_mibitof,0.0007873864531120969,3.5684987694831833,6.126245111574141e-45,0.125,9.242639363983596e-45
glioma_mibitof:Brainiaqc_R5C1_whole_cell.tiff,glioma_mibitof,0.00019023208554022917,3.977994075327973,3.5344144700744604e-47,0.125,5.49973910814277e-47
glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,glioma_mibitof,0.00031312084305087673,3.033419023136247,1.4480321546787343e-63,0.125,3.2840990697615737e-63
glioma_mibitof:Brainiaqc_R5C3_whole_cell.tiff,glioma_mibitof,0.0004957144454452576,2.6060213661379086,2.8794532147260698e-80,0.125,9.669389666225287e-80
glioma_mibitof:Brainiaqc_R5C4_whole_cell.tiff,glioma_mibitof,0.0008462656578341837,2.2552828579550837,7.905361577320992e-133,0.125,9.143868224434613e-132
glioma_mibitof:Brainiaqc_R5C5_whole_cell.tiff,glioma_mibitof,0.0004863603371586968,2.854785478547855,3.634120565781116e-87,0.125,1.4835762780306439e-86
glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,glioma_mibitof,0.00017877756514567968,7.564575645756458,1.688825165330752e-19,0.125,1.7510627461248137e-19
glioma_mibitof:Brainiaqc_R6C2_whole_cell.tiff,glioma_mibitof,0.00018931205104371165,3.955763504891536,1.5256927087001267e-49,0.125,2.4972423109384152e-49
glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,glioma_mibitof,0.0006408042669122444,4.485887096774194,3.7666991188499307e-48,0.125,5.96824015635126e-48
glioma_mibitof:Brainiaqc_R6C4_whole_cell.tiff,glioma_mibitof,0.00047100070494145244,2.1642808452624402,5.2890382966968645e-71,0.125,1.4227103015145828e-70
glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,glioma_mibitof,6.555227794165847e-05,8.900523560209423,3.255137479125499e-09,0.125,3.2676934578299368e-09
glioma_mibitof:Brainiaqc_R7C1_whole_cell.tiff,glioma_mibitof,0.0007266600044175173,2.2950457905770714,3.232064850362676e-114,0.125,2.713370571957698e-113
glioma_mibitof:Brainiaqc_R7C2_whole_cell.tiff,glioma_mibitof,0.0005072056991041123,2.7356103731815304,1.1490863705622878e-85,0.125,4.4801457369113917e-85
glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,glioma_mibitof,0.0003518184722204902,3.1521242576518955,1.7187266391463954e-65,0.125,4.084918793039721e-65
glioma_mibitof:Brainiaqc_R7C4_whole_cell.tiff,glioma_mibitof,0.00041153418071962364,2.674214327542456,3.1833193576097793e-73,0.125,8.766760453099948e-73
glioma_mibitof:Brainiaqc_R7C5_whole_cell.tiff,glioma_mibitof,0.0008105230473174873,2.161681966242227,1.8318959744940308e-119,0.125,1.687613902166625e-118
glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,glioma_mibitof,0.0003683665246920686,4.007123775601069,8.66823486747889e-19,0.125,8.952016366116591e-19
glioma_mibitof:Brainiaqc_R8C2_whole_cell.tiff,glioma_mibitof,0.0006207227833334373,2.0798346466864746,3.169857592342913e-86,0.125,1.2594739517667833e-85
glioma_mibitof:Brainiaqc_R8C3_whole_cell.tiff,glioma_mibitof,0.000632031136757594,1.8006593963986812,4.6818167133067363e-79,0.125,1.4724384285656532e-78
glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,glioma_mibitof,0.00032232634368896515,3.5074626865671643,3.047654856275904e-73,0.125,8.41540770658678e-73
glioma_mibitof:Brainiaqc_R8C5_whole_cell.tiff,glioma_mibitof,0.0004659968451175031,2.8900739721314297,4.8672650311182877e-82,0.125,1.6945895977906815e-81
glioma_mibitof:Brainiaqc_R9C1_whole_cell.tiff,glioma_mibitof,0.0005838193693598535,4.722222222222222,2.128790616517274e-40,0.125,2.9158829365716874e-40
glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,glioma_mibitof,0.00046599673347071254,2.323580034423408,1.574689461554321e-69,0.125,4.067622157513767e-69
glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,glioma_mibitof,0.0001455718226671396,4.215196894065446,1.27092376919948e-36,0.125,1.635391401405017e-36
glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,glioma_mibitof,7.717162392176096e-05,6.4482029598308666,7.867790034463074e-31,0.125,9.435909476815738e-31
glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,glioma_mibitof,0.00010850566810084593,4.801200300075019,1.666570139753877e-29,0.125,1.9427766130837467e-29
glioma_mibitof:CHOP_1101_R1C2_whole_cell.tiff,glioma_mibitof,0.0005714551443667323,2.582818641212802,1.2120830511285851e-93,0.125,5.951785170871967e-93
glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,glioma_mibitof,0.000614432223214174,3.54122621564482,2.7999490557825263e-36,0.125,3.57199383219315e-36
glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,glioma_mibitof,0.00021972441169306988,2.2266401590457257,1.5036248738207246e-29,0.125,1.7567603744639442e-29
glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,glioma_mibitof,0.0003837148538178309,2.907949790794979,1.134686102138279e-69,0.125,2.9530205808148713e-69
glioma_mibitof:CHOP_1101_R2C3_whole_cell.tiff,glioma_mibitof,0.0006679687425129041,2.531190019193858,3.9290429550819e-113,0.125,3.1222394780459982e-112
glioma_mibitof:CHOP_1101_R3C2_whole_cell.tiff,glioma_mibitof,0.0006235364879163425,2.519928002057084,1.0339737824685047e-102,0.125,6.8124475161374274e-102
glioma_mibitof:CHOP_1101_R3C3_whole_cell.tiff,glioma_mibitof,0.00048050583106720187,1.7791636096845194,3.3382910397216978e-52,0.125,5.811305973829912e-52
glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,glioma_mibitof,0.0004887562078276814,2.2346368715083798,3.6125562387021454e-67,0.125,8.890475282479747e-67
glioma_mibitof:CHOP_1101_R4C2_whole_cell.tiff,glioma_mibitof,0.00037682979593466195,1.9692603266090298,6.990941842921132e-44,0.125,1.0279054319888275e-43
glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,glioma_mibitof,0.0002120345034044116,3.6039453717754175,5.879480901566608e-46,0.125,9.000793556662999e-46
glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,glioma_mibitof,0.00030565174587940836,2.318840579710145,5.075329709561373e-48,0.125,7.993068423076232e-48
glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,glioma_mibitof,0.00022484267005704484,3.2639885222381633,2.132003523588864e-41,0.125,2.9790814336322247e-41
glioma_mibitof:CHOP_1101_R7C1_whole_cell.tiff,glioma_mibitof,0.0008529299581585147,1.623650868137025,3.417522958837878e-103,0.125,2.2805393590706612e-102
glioma_mibitof:CHOP_1101_R7C2_whole_cell.tiff,glioma_mibitof,0.0004292809927086983,3.103383810057955,6.1392669379770576e-86,0.125,2.4208245766795897e-85
glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,glioma_mibitof,0.00023837008686090625,5.394190871369295,4.1093093850938596e-21,0.125,4.303612746360873e-21
glioma_mibitof:CHOP_1101_R8C1_whole_cell.tiff,glioma_mibitof,0.001434870861622454,1.6901879846042283,8.157702335617451e-183,0.125,4.043889586370365e-181
glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,glioma_mibitof,0.000278946054425688,3.2583621683967703,1.0322032671878392e-56,0.125,2.0009750486825712e-56
glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,glioma_mibitof,0.00015284136170376128,4.287983059820011,8.467106461786912e-41,0.125,1.1674513677775067e-40
glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,glioma_mibitof,0.0002649834864495447,3.397027600849257,1.0887950782747492e-51,0.125,1.867274590583219e-51
glioma_mibitof:CHOP_1101_R98C3_whole_cell.tiff,glioma_mibitof,0.0014051475093269004,1.6573641644834263,2.345925278953211e-177,0.125,8.421062811690664e-176
glioma_mibitof:CHOP_1101_R99C1_whole_cell.tiff,glioma_mibitof,0.0012276477104334227,1.7088442473258545,6.830612181435691e-160,0.125,1.2697620144418847e-158
