,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,dataset,num_edges,num_nodes,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
degree,Piecewise Linear Fit,0.9999806604874404,0.018627450966660963,-0.09960558861527116,1.0,0.16722972972972974,1.0740979429785809,0.037254901933359494,99.16416083431207,16.69772308376073,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
pagerank,Piecewise Linear Fit,0.999976770121078,0.01850809065877846,-0.0775822289740874,1.0,0.16722972972972974,1.0734806614943249,0.03701618187231036,0.006672546464689258,0.001468312936047663,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
betweenness,Piecewise Linear Fit,0.9999762559965738,0.18183438935697668,-0.7901256373951495,1.0,0.9155405405405406,1.1611703031586766,0.36366877931759306,0.060246004313979154,0.0029098292204677804,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
closeness,Piecewise Linear Fit,0.9999081866065359,0.1860133529893769,-0.2106984942270376,1.0,0.9256756756756757,2.6279206276063403,0.37202670623802303,0.1434905429892548,0.09998823442503184,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
clustering,Exponential Saturation Fit,0.9999884310707884,0.02328416575225215,0.16401877114763785,1.0,0.3885135135135135,1.2077500097671083,,,,-0.22351898380955568,29.769019366015126,0.7931415014371698,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
degree,Piecewise Linear Fit,0.9999798084623206,0.015196078422323126,-0.08052208522297861,1.0,0.1683991683991684,1.068648055132578,0.03039215684467673,99.75245242831566,17.30937540949239,,,,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,9620,962,,,,
pagerank,Piecewise Linear Fit,0.9999816254228073,0.014678024688616108,-0.06129740839249401,1.0,0.1683991683991684,1.0618201682939274,0.029356050085756473,0.004143267095246454,0.0009313146519811875,,,,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,9620,962,,,,
betweenness,Piecewise Linear Fit,0.9999999864214949,0.21911764626774516,-0.7309113265289677,1.0,0.9854469854469855,1.1240236846497522,0.4382352936119707,0.0407100080616277,0.0032840462348788053,,,,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,9620,962,,,,
closeness,Piecewise Linear Fit,0.999997949317223,0.20541315700716103,-0.21396856045987236,1.0,0.975051975051975,2.5119717344137715,0.41082631439665973,0.10745116173898932,0.08108290970649495,,,,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,9620,962,,,,
clustering,Exponential Saturation Fit,0.9999940088878408,0.020245352015907978,0.13838066992182263,1.0,0.34615384615384615,1.1866056481034624,,,,-0.1779953760198976,34.23734670592169,0.7321343594632919,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,9620,962,,,,
