,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
degree,Piecewise Linear Fit,0.9999452659941591,0.017926729508819676,-0.07856517133506807,1.0,0.2328767123287671,1.1226166624055387,0.03585345901766809,124.70399333445455,26.2189918375654,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,10950,730,,,,,,,
pagerank,Piecewise Linear Fit,0.9999461332581259,0.017661550890718785,-0.061190480837785846,1.0,0.2328767123287671,1.1228532152082908,0.03532310255729221,0.0045527989469745815,0.0012336754424380836,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,10950,730,,,,,,,
betweenness,Piecewise Linear Fit,0.9999744191330124,0.1652436511312457,-0.8688550169107107,1.0,0.9027397260273973,1.2375316261821432,0.3304873028918613,0.05251083029964698,0.0013097186756121347,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,10950,730,,,,,,,
closeness,Piecewise Linear Fit,0.9999691402039509,0.18616875234500602,-0.203464193395215,1.0,0.9397260273972603,2.8721532781061,0.3723375049179484,0.16335142399713068,0.1190548316845455,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,10950,730,,,,,,,
clustering,Piecewise Linear Fit,0.9999833346581853,0.03921354368500268,0.12856098185759782,1.0,0.37945205479452054,1.357731512686975,0.07842708736634534,-2.1427959709580127,0.737620133594133,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,10950,730,,,,,,,
degree,Exponential Saturation Fit,0.9999983746175998,0.005803866247602239,-0.0916498224184944,1.0,0.13560454241816966,1.0356802073007167,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,22455,1497,5.093639135764484,119.42852418879814,25.241772932038696,,,,
pagerank,Exponential Saturation Fit,0.9999981240383058,0.005391033401074015,-0.07046475824527113,1.0,0.13026052104208416,1.03421921862686,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,22455,1497,8.868311270673199e-05,128.57387468854566,0.0005849312026020487,,,,
betweenness,Exponential Saturation Fit,0.9999999998679174,0.18546164315785932,-0.6879548750282721,1.0,1.0,1.0478133726004828,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,22455,1497,0.014615967789519076,2.0820859491979933,0.0021236448343813744,,,,
closeness,Piecewise Linear Fit,0.9999964512013644,0.20729319536744328,-0.19354188828425245,1.0,0.9652638610554443,2.565337951864458,0.41458639116963997,0.09536129477754686,0.0823690441237131,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,22455,1497,,,,,,,
clustering,Michaelis-Menten Fit,0.999998604794242,0.01592232323318231,0.1288298114561709,1.0,0.8550434201736807,1.1446757454859788,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,22455,1497,,,,-0.1917615044564517,0.01702525320034328,0.8120008596976448,
