,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c
degree,Piecewise Linear Fit,0.9999990484384602,0.04653102989604557,0.10705388254538425,1.0,0.4202586206896552,1.0057363146569744,0.09306205979034986,-5.344090281966655,2.5714778532108458,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0021551724137931043,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,,,,
betweenness,Piecewise Linear Fit,0.9999999485334778,0.15907597512614835,-0.42991993126724554,1.0,0.8900862068965517,1.0029516399168152,0.31815201816286826,0.000468486633167261,9.882116032576865e-05,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,,,,
closeness,Constant Fit,,0,0,0.9310344827586207,0.0,,,,,0.47158798005214286,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,,,,
clustering,Piecewise Linear Fit,0.9999995592264894,0.028835910394458895,0.16820995147025844,1.0,0.3125,1.0011119701382323,0.05767182078590518,-1.9143485049039481,0.38337508619916066,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,,,,
degree,Piecewise Linear Fit,0.9999722931987745,0.07676351178847528,0.4325418138319195,1.0,0.6390532544378699,1.0653037079698002,0.15352702357578707,-13.195130776649982,3.3546540783600745,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,185,169,,,,,,
pagerank,Piecewise Linear Fit,0.9999809442112682,0.055880252037547054,0.18753287895740572,1.0,0.5798816568047337,1.0312221917014475,0.1117605035426425,-0.02098979731839686,0.007427365876571046,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,185,169,,,,,,
betweenness,Piecewise Linear Fit,0.9999997806187698,0.11491425653726879,0.9058920431489628,1.0,0.7810650887573964,1.0088010910551433,0.22982850832774568,-0.004841765049628442,0.0011705755457763814,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,185,169,,,,,,
closeness,Piecewise Linear Fit,0.9999974412650046,0.10454367881350235,-0.1810529481496812,0.7692307692307693,0.7538461538461538,1.0281855540977636,0.20908735764494712,1.1653322445172027,0.5510585750126147,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,185,169,,,,,,
clustering,Piecewise Linear Fit,0.9999984186053651,0.05227538291821514,0.35637009044489665,1.0,0.5562130177514792,1.0252296334081001,0.10455076583281896,-2.89508709050788,0.5760176787181811,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,185,169,,,,,,
degree,Piecewise Linear Fit,0.9999997564685394,0.016879169471163205,-0.3061123880230827,1.0,0.1529105125977411,1.02270403243937,0.033758338942352216,130.77433769911664,5.0035913329201005,,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,5188,1151,,,,,,
pagerank,Exponential Saturation Fit,0.9999999195764082,0.003079860107021607,-0.12314412241357031,1.0,0.08079930495221546,1.0091916428356655,,,,,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,5188,1151,0.00019225888884426067,225.05783910382328,0.0006844960241818901,,,
betweenness,Piecewise Linear Fit,0.9999987838815537,0.03260960218780734,-1.1364583728642283,1.0,0.26585577758470896,1.0100721440623537,0.06521920509985633,0.009005171734268487,-3.526020043669298e-05,,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,5188,1151,,,,,,
closeness,Piecewise Linear Fit,0.9999991091060649,0.034328028347936385,0.22177873761888234,0.9860990443092963,0.27841409691629954,1.0219619709596919,0.0686560566926142,-2.106916816377007,0.39844548078706227,,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,5188,1151,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.6821663097576235,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,5188,1151,,,,,,
degree,Exponential Saturation Fit,0.9999961583081303,0.003288755383895458,-0.21624972638972678,1.0,0.11316113161131611,1.0075356889531821,,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,1607,813,1.4352266497225905,210.7627657211928,2.600833994499447,,,
pagerank,Piecewise Linear Fit,0.9999999128032697,0.004906771339471897,-0.13280606372428025,1.0,0.0959409594095941,1.0114457133471484,0.009813542711869249,0.029805336672820624,0.0009549665468762586,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,1607,813,,,,,,
betweenness,Piecewise Linear Fit,0.9999992408022393,0.08756754255401086,-1.0225165535641714,1.0,0.6039360393603936,1.0303254798621286,0.1751350858148258,0.02477844915987397,-4.778034805757471e-05,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,1607,813,,,,,,
closeness,Piecewise Linear Fit,0.9999990305376026,0.031701314936412595,0.2272889088286702,0.97539975399754,0.2849936948297604,1.0103496817000097,0.0634026298688868,-1.6098618077861313,0.2755715885008194,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,1607,813,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.4830911469287853,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,1607,813,,,,,,
degree,Piecewise Linear Fit,0.9999990086675157,0.11291926254218264,-0.12858200584558488,1.0,0.7142857142857143,1.0044159150238,0.22583852509346888,2.4807198797152257,1.8984190679963655,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,467,420,,,,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0023809523809523803,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,467,420,,,,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,0.00011609627235804854,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,467,420,,,,,,
closeness,Constant Fit,,0,0,0.8738095238095238,0.0,,,,,0.5668708516156227,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,467,420,,,,,,
clustering,Piecewise Linear Fit,0.9999971896897243,0.09668629077256938,-0.24968053374214608,1.0,0.6214285714285714,1.0076426217845442,0.19337258156900572,0.8102123869133321,0.23541021713464697,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,467,420,,,,,,
degree,Piecewise Linear Fit,0.9999999999329106,0.22488812351938317,0.12268733617471207,1.0,0.9925650557620818,1.0059815330545454,0.44977624701462343,-1.862961426136124,3.8338001507147226,,glioma_mibitof:CHOP_907_R10C11_whole_cell.tiff,1436,807,,,,,,
pagerank,Piecewise Linear Fit,0.9999999424454483,0.008203166497505101,-0.09343993558768426,1.0,0.1288723667905824,1.0092908728057535,0.01640633312018552,0.013106685673679645,0.0010431300257782877,,glioma_mibitof:CHOP_907_R10C11_whole_cell.tiff,1436,807,,,,,,
betweenness,Piecewise Linear Fit,0.9999995913364232,0.17697919698674963,-0.8421917119152447,1.0,0.9268897149938042,1.0345746055115101,0.3539583946699002,0.05082681847032299,0.001685520268490762,,glioma_mibitof:CHOP_907_R10C11_whole_cell.tiff,1436,807,,,,,,
closeness,Piecewise Linear Fit,0.9999999494808497,0.0698634277597161,0.2221180618946987,0.9826517967781908,0.5409836065573771,1.003059835324041,0.13972685548438823,-0.3987191065660419,0.1532661416316045,,glioma_mibitof:CHOP_907_R10C11_whole_cell.tiff,1436,807,,,,,,
clustering,Piecewise Linear Fit,0.9999999836296538,0.03984920400423034,0.07242084277356466,1.0,0.3655514250309789,1.0002826625439776,0.07969840799915494,-0.8564414727557086,0.5053811179579547,,glioma_mibitof:CHOP_907_R10C11_whole_cell.tiff,1436,807,,,,,,
degree,Piecewise Linear Fit,0.9999990593742275,0.07326499361621487,0.07178932890907228,1.0,0.5077639751552795,1.0005204902865699,0.1465299872280229,-3.3250314708747664,3.6369875255460036,,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,1062,644,,,,,,
pagerank,Piecewise Linear Fit,0.9999985912079196,0.00930250103892405,-0.07935073480341125,1.0,0.11024844720496894,1.003263206553059,0.018605002227740843,0.012412211235198724,0.0013396524125646814,,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,1062,644,,,,,,
betweenness,Piecewise Linear Fit,0.9999964553266699,0.17050539189269845,-0.7914299392024541,1.0,0.889751552795031,1.035046499681698,0.34101081571835234,0.0010678960922367773,4.798507690027824e-05,,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,1062,644,,,,,,
closeness,Piecewise Linear Fit,0.9999991547101337,0.1881438098081539,0.29022484306185137,0.9565217391304348,0.9172077922077922,1.033361048663556,0.3762876195519597,-0.5847696883854567,0.48910894067266086,,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,1062,644,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.49902141509284365,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,1062,644,,,,,,
degree,Piecewise Linear Fit,0.9999998022797458,0.19114047537165507,-0.17072504003997865,1.0,0.9351111111111111,1.0276007168583303,0.38228095075119944,4.845529192919873,4.498784653309098,,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,2976,1125,,,,,,
pagerank,Exponential Saturation Fit,0.9999933764780418,0.005111533560340303,-0.0891049711861787,1.0,0.13066666666666665,1.0097485204976513,,,,,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,2976,1125,0.000147215688926042,135.6044116903077,0.0007524722162551842,,,
betweenness,Piecewise Linear Fit,0.9999999993312324,0.23326186408798388,-0.8661737666896565,1.0,0.9982222222222222,1.0666858642031807,0.46652372862796976,0.10321274587816562,0.0037197460971433913,,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,2976,1125,,,,,,
closeness,Piecewise Linear Fit,0.9999995344668201,0.016642191434973575,0.41797515580656813,0.992,0.16577060931899643,1.0136421084503455,0.03328438286839525,-2.144750371955283,0.12108920234260381,,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,2976,1125,,,,,,
clustering,Piecewise Linear Fit,0.9999946044597906,0.01009125625314874,0.09690247522131151,1.0,0.12444444444444444,1.0058654458674512,0.020182512505955628,-5.903579266241314,0.6743630703274982,,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,2976,1125,,,,,,
degree,Michaelis-Menten Fit,0.9999973631226111,0.00033062240859927793,-0.22182771562873096,1.0,0.0775716694772344,1.0062495481246494,,,,,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,1357,593,,,,1.691867549888971,0.0003310966166500229,2.9654115632434848
pagerank,Exponential Saturation Fit,0.9999906398713614,0.0005878444340763955,-0.1188022369957882,1.0,0.05564924114671164,1.006856021100606,,,,,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,1357,593,0.0003613833240019424,1179.1332258416783,0.0013402532345775774,,,
betweenness,Piecewise Linear Fit,0.9999991949876988,0.03123566124966354,-1.2308314819995507,1.0,0.26475548060708265,1.0123756839454365,0.06247132256733156,0.09186354353364273,-0.00053813393873659,,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,1357,593,,,,,,
closeness,Constant Fit,,0,0,0.9662731871838112,0.0,,,,,0.18466233608117627,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,1357,593,,,,,,
clustering,Piecewise Linear Fit,0.9999999999999646,0.23084376099594442,0.21816910690752359,1.0,0.9983136593591906,1.0143766887252732,0.4616875218913106,-0.4590331272018596,0.5916658421624998,,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,1357,593,,,,,,
degree,Piecewise Linear Fit,0.9999987104149035,0.14585331691845937,0.12778865854543506,1.0,0.8561643835616438,1.0130417645730658,0.29170663382696066,-2.9293988812878045,3.7707716486307024,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,1235,730,,,,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0013698630136986301,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,1235,730,,,,,,
betweenness,Piecewise Linear Fit,0.9999987014372825,0.09154211676263665,-0.8660563834889433,1.0,0.6767123287671233,1.0278627407212733,0.18308423396038273,0.04207774583149627,0.0005957296759682415,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,1235,730,,,,,,
closeness,Constant Fit,,0,0,0.9739726027397261,0.0,,,,,0.22443828779439953,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,1235,730,,,,,,
clustering,Exponential Saturation Fit,0.9999997295890588,0.2000821743342716,0.282008338676976,1.0,1.0,1.0142324767561781,,,,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,1235,730,-0.4301800331675541,1.556467185146105,0.523307290859607,,,
degree,Michaelis-Menten Fit,0.9999897700856621,0.009493256565397984,-0.3366335813259044,1.0,0.5566600397614314,1.032075697220892,,,,,glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,3222,1006,,,,3.5037259539257155,0.009909974876921822,3.3780597716942826
pagerank,Exponential Saturation Fit,0.9999684846853547,0.003958082120109557,-0.14881025128760142,1.0,0.0874751491053678,1.0190861302401641,,,,,glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,3222,1006,0.00026075615520082144,175.1218837877283,0.0007457582707477963,,,
betweenness,Piecewise Linear Fit,0.9999978183826377,0.16670190981407618,-1.000793134528673,1.0,0.8866799204771372,1.0944750233170852,0.3334038201214997,0.0675799247707307,-8.928186461754484e-06,,glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,3222,1006,,,,,,
closeness,Piecewise Linear Fit,0.9999999617512844,0.1497608540106458,0.29783355516280574,0.9950298210735586,0.8221778221778222,1.012236578925498,0.2995217078691153,-0.19682549115765466,0.12844731321455766,,glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,3222,1006,,,,,,
clustering,Exponential Saturation Fit,0.9999995464550774,0.007498368417497772,0.12373874521099532,1.0,0.14214711729622267,1.0085320924007701,,,,,glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,3222,1006,-0.14820143931368393,92.43973390494031,0.6729488777200328,,,
degree,Michaelis-Menten Fit,0.9999971820811887,0.014718888688698528,-0.3530391758047556,1.0,0.8402220851326342,1.0638498150483422,,,,,glioma_mibitof:Brainiaqc_R1C4_whole_cell.tiff,28155,3242,,,,10.116147802349479,0.01566382556680958,8.980876010920984
pagerank,Piecewise Linear Fit,0.9999970547263025,0.007705098591669266,-0.1486829919194266,1.0,0.07279457125231338,1.0353783611337355,0.015410197477276398,0.005242671630411507,0.000231292094969242,,glioma_mibitof:Brainiaqc_R1C4_whole_cell.tiff,28155,3242,,,,,,
betweenness,Piecewise Linear Fit,0.9999999939289205,0.21698886276177035,-0.8840211131883985,1.0,0.9876619370758791,1.1052837210200488,0.4339777272689064,0.024864572156217787,0.0007078393530859539,,glioma_mibitof:Brainiaqc_R1C4_whole_cell.tiff,28155,3242,,,,,,
closeness,Piecewise Linear Fit,0.9999980460797985,0.18312269754188645,-0.22318539142208713,1.0,0.9435533621221468,2.8554221017821075,0.36624539556210606,0.0765669813561038,0.04880174175963739,,glioma_mibitof:Brainiaqc_R1C4_whole_cell.tiff,28155,3242,,,,,,
clustering,Exponential Saturation Fit,0.9999998231600228,0.013408630746146582,0.1200391320676676,1.0,0.21560764959901296,1.0561214464936894,,,,,glioma_mibitof:Brainiaqc_R1C4_whole_cell.tiff,28155,3242,-0.16657906146793378,51.694106152365855,0.7771426875526916,,,
