,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c
degree,Piecewise Linear Fit,0.9999995734641801,0.01077375100442749,-0.14219324451074952,1.0,0.14463840399002495,1.0139100821132234,0.021547502008887665,65.92459334586515,4.284744124945288,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
pagerank,Piecewise Linear Fit,0.999998324590167,0.009794318316958638,-0.07564058995814671,1.0,0.13840399002493767,1.0105006051320822,0.019588636849788107,0.009074239360432643,0.0010861014400425412,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
betweenness,Piecewise Linear Fit,0.9999989618410313,0.14376834584515577,-0.7725607629356385,1.0,0.8154613466334164,1.1000628123057528,0.2875366919573487,0.10767668084637329,0.004557405519833173,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
closeness,Piecewise Linear Fit,0.9999925840522625,0.17869764700269103,-0.22239566387851545,0.9987531172069826,0.9138576779026217,2.261495721033713,0.3573952944682952,0.07720569304625538,0.04823924679845968,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
clustering,Piecewise Linear Fit,0.9999999834115518,0.026987242347601182,0.09463857827382666,1.0,0.2730673316708229,1.0115871089200181,0.053974484692548716,-2.0339411641542027,0.6348913899204516,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
degree,Exponential Saturation Fit,0.9999219085907467,0.007041162585193771,-0.21830511410578715,1.0,0.17391304347826086,1.0398918975218159,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,3.9130200378501145,98.44214959500393,7.005762930695577,,,,
pagerank,Piecewise Linear Fit,0.999983527984628,0.008353241311509699,-0.12858384866030273,1.0,0.12441471571906354,1.0548796155539326,0.01670648280282511,0.00929140841441808,0.0005259878666010658,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,,,,,,,
betweenness,Exponential Saturation Fit,0.9999998855649973,0.14164068369710942,-0.9791138747559941,1.0,1.0,1.216415985939921,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,0.021076949850921265,3.957489315348335,0.00019292610614200822,,,,
closeness,Exponential Saturation Fit,0.999999870872824,0.21098769496584174,-0.26516697944782736,1.0,1.0,3.0266819537103262,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,0.09383045698627832,1.192504780846236,0.05784158173127564,,,,
clustering,Piecewise Linear Fit,0.999985054284146,0.01717733423959222,0.15404581795995217,1.0,0.19063545150501673,1.1991157942407373,0.0343546684785639,-5.536290393297666,0.7124391341995099,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,,,,,,,
