,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,constant_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes
0,degree,Constant Fit,1.0986122861786698,0.0,0.0,1.0,0.0,5.961937716262976,0.9994231859188509,0.33335733086360175,0.9993750699583568,0.3333412817981125,0.9992554642246615,0.3333013873382857,,,,,,,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
1,closeness,Exponential Saturation Fit,1.0985825152375615,0.03291495785883567,-0.07116813870088724,1.0,0.47837370242214533,,1.5014183518599902,0.3302484191959379,1.5300480120690827,0.33654573134378574,1.5148638062970925,0.3332058494602764,-0.01281316166926368,21.05765427500645,0.09642352052365008,,,,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
2,betweenness,Michaelis-Menten Fit,1.098612049849148,3.2978990759488484e-05,-0.8658721849143185,1.0,0.02162629757785467,,1.3728451342734227,0.333170465777996,1.3728447821660557,0.3331703803264236,1.3748587974678368,0.33365915389558043,,,,-0.09666651644506477,3.2983460347861026e-05,0.10414651578984557,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
3,harmonic,Michaelis-Menten Fit,1.098519189508577,0.010006481684868536,-0.08202902783231594,1.0,0.6193771626297578,,1.2862643798395745,0.3271401213088548,1.316963916735328,0.33494804196779043,1.3286170994999043,0.3379118367233548,,,,-0.019713746856403085,0.010435561106924967,0.12729098060764718,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
4,clustering,Piecewise Linear Fit,1.09861199413892,0.033894998341612866,-0.04799284508036271,1.0,0.2647058823529412,,1.0064952760375114,0.33367257823147256,1.005288952810314,0.33327265883693336,1.0046316881332036,0.3330547629315941,,,,,,,0.06778999667234509,-0.6230382908565398,0.46113934324340516,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
5,pagerank,Constant Fit,1.0986122886353504,0.0,0.0,1.0,0.0,0.0008650519031141869,0.9983132917206284,0.3333355207893706,0.9983115732839485,0.33333494700557914,0.9982953563883498,0.33332953220505024,,,,,,,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
0,degree,Constant Fit,1.098612284679516,0.0,0.0,1.0,0.0,5.964396284829721,0.9994966889261194,0.333373597483283,0.9993475748893302,0.333323861767867,0.9992836517470269,0.33330254074884996,,,,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
1,closeness,Exponential Saturation Fit,1.0985904388186114,0.034417782478031844,-0.08419492083378419,1.0,0.4852941176470588,,1.3708078694748287,0.3330394643550588,1.3836833277005065,0.33616757282765497,1.3615611515438784,0.3307929628172862,-0.014561519539142366,20.137090241660477,0.09374894500011483,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
2,betweenness,Michaelis-Menten Fit,1.09861204004712,4.3078407464266094e-05,-0.8900761441843468,1.0,0.01934984520123839,,1.5449365686216805,0.33316711329530463,1.5449365674468163,0.333167113041944,1.547248917608862,0.33366577366275124,,,,-0.11166321846306905,4.308625752328887e-05,0.11854758637390567,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
3,harmonic,Exponential Saturation Fit,1.0985882063241053,0.02305814749859763,-0.07484327843319291,1.0,0.33900928792569657,,1.2386566597660122,0.3300648407840935,1.2572226644801743,0.33501212407011255,1.2568883344462436,0.3349230351457939,-0.016641562848411888,30.060806482796924,0.11949676940255057,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
4,clustering,Piecewise Linear Fit,1.0986122864964898,0.06109836829960389,-0.024700075226838918,1.0,0.4102167182662539,,1.000621293902674,0.33335034369185246,1.0006122819422871,0.33334734141705524,1.0004771253374671,0.3333023148910923,,,,,,,0.1221967365291072,-0.17431552477401185,0.441839126461737,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
5,pagerank,Constant Fit,1.098612288603758,0.0,0.0,1.0,0.0,0.0007739938080495358,0.9984932670942198,0.3333385934263828,0.9984721355903541,0.33333153885124667,0.9984671298365525,0.33332986772237055,,,,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
0,degree,Constant Fit,1.0986122757091374,0.0,0.0,1.0,0.0,5.955555555555556,0.9989416551281871,0.333407703895005,0.9986466598530004,0.3333092459952318,0.9985681728807978,0.33328305010976306,,,,,,,,,,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,2546,855
1,closeness,Michaelis-Menten Fit,1.0985599674131452,0.006478866048913704,-0.08597669865591236,1.0,0.4233918128654971,,1.2109077683050355,0.3289531977967678,1.2286759161983052,0.3337800634106521,1.2415106973580945,0.33726673879257996,,,,-0.018501577777641432,0.006653100025679404,0.1152969327675769,,,,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,2546,855
2,betweenness,Piecewise Linear Fit,1.09861212625779,0.00019784408516295029,-0.8570547329639581,1.0,0.022222222222222223,,1.4957972901425702,0.33351867257940043,1.4953058351006647,0.3334090926020272,1.4937950622382086,0.33307223481857223,,,,,,,0.0003956881703257491,-261.1687161806629,0.11195935072679426,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,2546,855
3,harmonic,Michaelis-Menten Fit,1.0985831605789433,0.003223619053885407,-0.08570577759762599,1.0,0.22456140350877193,,1.182482908813256,0.3301754592201173,1.1941004671430986,0.333419339218706,1.2047939668852674,0.33640520156117676,,,,-0.023588315424586927,0.003266178237284536,0.14842653746122686,,,,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,2546,855
4,clustering,Piecewise Linear Fit,1.0986122299761276,0.06719673066938606,-0.05051785323013561,1.0,0.44912280701754387,,1.0057018429503883,0.3334800862556231,1.0052141431182697,0.33331837015335897,1.0048618201643829,0.33320154359101783,,,,,,,0.13439346129861732,-0.33468906720088315,0.4676793780151886,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,2546,855
5,pagerank,Constant Fit,1.0986122839097874,0.0,0.0,1.0,0.0,0.001169590643274854,0.9979295266266434,0.3333790262063759,0.9977378367049138,0.3333149882179863,0.9977108883911001,0.3333059855756379,,,,,,,,,,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,2546,855
0,degree,Constant Fit,1.0986122801137113,0.0,0.0,1.0,0.0,5.975567190226876,0.9996616583430197,0.3333933017791511,0.9994291947203685,0.3333157737334845,0.9993546856092002,0.3332909244873643,,,,,,,,,,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,5136,1719
1,closeness,Exponential Saturation Fit,1.098559534056042,0.02510306034455077,-0.0667643154432938,1.0,0.4141942990110529,,1.2909890290293977,0.3284970856041335,1.3195153412552527,0.3357557146230587,1.3194818780108601,0.33574719977280776,-0.010932194988507232,27.612010093649094,0.08733753305208385,,,,,,,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,5136,1719
2,betweenness,Michaelis-Menten Fit,1.0981881261820545,1.3106335339114798e-05,-0.9124916096702532,1.0,0.013379872018615475,,1.4736759813908067,0.31967264346421126,1.565047262568041,0.3394930784577109,1.571230130283484,0.34083427807807776,,,,-0.11569941402949535,1.3107032210762847e-05,0.12124400567896483,,,,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,5136,1719
3,harmonic,Michaelis-Menten Fit,1.0985054472578315,0.0035978286834465393,-0.09330873360084373,1.0,0.29552065154159396,,1.186184997002593,0.3273019162946092,1.2085184851886563,0.33346435596406454,1.2294274438705786,0.3392337277413262,,,,-0.020104142812773198,0.0036511188937603132,0.1169153680977893,,,,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,5136,1719
4,clustering,Piecewise Linear Fit,1.0986122732340342,0.0372493760013032,-0.023344376190368315,1.0,0.3089005235602094,,1.0004901922859133,0.3334128095997571,1.000193032176133,0.33331378115563365,1.0000718859578093,0.3332734092446093,,,,,,,0.07449875197534224,-0.2732501283282741,0.446189052380625,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,5136,1719
5,pagerank,Constant Fit,1.0986122869878452,0.0,0.0,1.0,0.0,0.0005817335660267597,0.9990109006112888,0.33336037924587203,0.9988994793970166,0.3333231990527199,0.9988791691014348,0.3333164217014081,,,,,,,,,,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,5136,1719
0,degree,Constant Fit,1.0986122847110584,0.0,0.0,1.0,0.0,5.972461273666093,0.9996134890079922,0.3333728956901615,0.9994716729939176,0.33332559979451065,0.9993994236707006,0.33330150451532786,,,,,,,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
1,closeness,Exponential Saturation Fit,1.0985880575755869,0.02848627430275054,-0.08000854240317973,1.0,0.4624211130235227,,1.437180617011754,0.3314757613520377,1.4594313485294321,0.33660773856016185,1.4390915294887954,0.3319165000878004,-0.012650405627131142,24.33246959517065,0.0853813030141442,,,,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
2,betweenness,Michaelis-Menten Fit,1.0986100469586522,1.7011498155810754e-05,-0.9214861626474721,1.0,0.01778542742398164,,1.7693438633469816,0.3328173603243004,1.7695231902506545,0.332851092097955,1.7773936775821193,0.3343315475777445,,,,-0.12666059222577875,1.7012665813182493e-05,0.13205202236488436,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
3,harmonic,Michaelis-Menten Fit,1.098528065168475,0.00908600009540464,-0.08997120731845722,1.0,0.6253585771658061,,1.304397834215582,0.3273164730215202,1.3366964548524882,0.3354212630733143,1.344033077649648,0.33726226390516545,,,,-0.01872541718414473,0.009431760997801023,0.11130821991343327,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
4,clustering,Piecewise Linear Fit,1.0986121783637472,0.027032189528372604,-0.03436157110237374,1.0,0.25243832472748134,,1.0020117794625678,0.3335361600124005,1.0013288388631902,0.3333088319612721,1.000866719869039,0.33315500802632725,,,,,,,0.05406437904710215,-0.5606610721964188,0.4562270079017457,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
5,pagerank,Constant Fit,1.098612288525044,0.0,0.0,1.0,0.0,0.0005737234652897303,0.9989113969257973,0.3333410390641038,0.9988820815534898,0.3333312563979978,0.9988714378189423,0.3333277045378984,,,,,,,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
