,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,constant_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes
0,0,degree,Constant Fit,1.0986122861786698,0.0,-0.0,1.0,0.0,5.961937716262976,0.9994231859188508,0.3333573308636017,0.9993750699583568,0.3333412817981125,0.9992554642246616,0.3333013873382857,,,,,,,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
1,1,closeness,Exponential Saturation Fit,1.0985825152375617,0.0329149578588356,0.0711681387008872,1.0,0.4783737024221453,,1.5014183518599902,0.3302484191959379,1.5300480120690827,0.3365457313437857,1.5148638062970925,0.3332058494602764,-0.0128131616692636,21.05765427500645,0.09642352052365,,,,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
2,2,betweenness,Michaelis-Menten Fit,1.098612049849148,3.2978990759488484e-05,0.8658721849143185,1.0,0.0216262975778546,,1.3728451342734227,0.333170465777996,1.3728447821660557,0.3331703803264236,1.3748587974678368,0.3336591538955804,,,,-0.0966665164450647,3.2983460347861026e-05,0.1041465157898455,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
3,3,harmonic,Michaelis-Menten Fit,1.098519189508577,0.0100064816848685,0.0820290278323159,1.0,0.6193771626297578,,1.2862643798395743,0.3271401213088548,1.316963916735328,0.3349480419677904,1.3286170994999045,0.3379118367233548,,,,-0.019713746856403,0.0104355611069249,0.1272909806076471,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
4,4,clustering,Piecewise Linear Fit,1.09861199413892,0.0338949983416128,0.0479928450803627,1.0,0.2647058823529412,,1.0064952760375114,0.3336725782314725,1.005288952810314,0.3332726588369333,1.0046316881332036,0.3330547629315941,,,,,,,0.067789996672345,-0.6230382908565398,0.4611393432434051,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
5,5,pagerank,Constant Fit,1.0986122886353504,0.0,-0.0,1.0,0.0,0.0008650519031141,0.9983132917206284,0.3333355207893706,0.9983115732839484,0.3333349470055791,0.9982953563883498,0.3333295322050502,,,,,,,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,3446,1156
6,0,degree,Constant Fit,1.098612284679516,0.0,-0.0,1.0,0.0,5.964396284829721,0.9994966889261194,0.333373597483283,0.9993475748893302,0.333323861767867,0.9992836517470268,0.3333025407488499,,,,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
7,1,closeness,Exponential Saturation Fit,1.0985904388186114,0.0344177824780318,0.0841949208337841,1.0,0.4852941176470588,,1.370807869474829,0.3330394643550588,1.3836833277005065,0.3361675728276549,1.3615611515438784,0.3307929628172862,-0.0145615195391423,20.13709024166048,0.0937489450001148,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
8,2,betweenness,Michaelis-Menten Fit,1.09861204004712,4.3078407464266094e-05,0.8900761441843468,1.0,0.0193498452012383,,1.5449365686216805,0.3331671132953046,1.5449365674468163,0.333167113041944,1.547248917608862,0.3336657736627512,,,,-0.111663218463069,4.308625752328887e-05,0.1185475863739056,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
9,3,harmonic,Exponential Saturation Fit,1.0985882063241053,0.0230581474985976,0.0748432784331929,1.0,0.3390092879256965,,1.2386566597660122,0.3300648407840935,1.2572226644801745,0.3350121240701125,1.2568883344462436,0.3349230351457939,-0.0166415628484118,30.060806482796924,0.1194967694025505,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
