,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,constant_c
0,0,degree,Michaelis-Menten Fit,1.0986104854767675,0.0702572226817755,-0.2811195674649471,1.0,1.0,5.215552488047547,0.098771577508465,5.5436547604407584,1.0898506990555,0.3325782666885908,1.0921972155706032,0.3332943284354205,1.0949271863235326,0.3341274048759886,,,,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,4812,1156,
1,1,closeness,Exponential Saturation Fit,1.0986117177372567,0.2175688353739368,-0.2947267810824816,1.0,1.0,,,,2.8790900405476654,0.3328303821602139,2.8858176511245723,0.333608111639946,2.885414499051816,0.3335615061998401,0.1322178825340461,0.8777156898123456,0.0550010546484676,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,4812,1156,
2,2,betweenness,Piecewise Linear Fit,1.0986122621972902,0.1524509821199074,-0.8441263802456755,1.0,0.828719723183391,,,,1.1342599950740069,0.3334410523664274,1.1337478539804944,0.3332904970564257,1.1336728588972524,0.3332684505771466,,,,0.3049019647342854,0.0616623102062917,0.0017358618337662,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,4812,1156,
3,3,harmonic,Michaelis-Menten Fit,1.098464067090345,0.161255841668117,-0.2716405024366263,1.0,1.0,0.1125391286518265,0.4779466546874706,0.0761257886521283,2.097080301894896,0.3252368338524494,2.174098457660965,0.3371816034961665,2.176677336738203,0.337581562651384,,,,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,4812,1156,
4,4,clustering,Michaelis-Menten Fit,1.0986117353118423,0.0095328191017223,0.1551607391316002,1.0,0.5908304498269896,-0.1918013824519351,0.0099214497613078,0.6997110801856862,1.051075956427139,0.3329154205465487,1.0523250455679978,0.3333110542151589,1.0537851526791728,0.3337735252382923,,,,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,4812,1156,
5,5,pagerank,Piecewise Linear Fit,1.0985989246049237,0.0097847629916009,-0.130435406990271,1.0,0.115916955017301,,,,1.0475589882660956,0.3352578593037107,1.04258235564132,0.3336651516671844,1.0344952878534222,0.3310769890291049,,,,0.0195695261715627,0.0103893855361268,0.0006777140597243,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,4812,1156,
6,0,degree,Piecewise Linear Fit,1.098610711948832,0.1202323407781825,-0.1227653260686678,1.0,0.7404761904761905,,,,1.009819594113671,0.3341687025043394,1.0061812672316484,0.3329647102461784,1.005884750759715,0.3328665872494821,,,,0.240464681563548,3.3476606571060867,2.876092161806418,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,699,420,
7,1,closeness,Constant Fit,1.098611861002076,0.0,-0.0,0.95,0.0,,,,0.998933684444976,0.3337552152798608,0.99732498672155,0.3332177308969004,0.9967542877691083,0.3330270538232387,,,,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,699,420,0.4204120640318372
8,2,betweenness,Constant Fit,1.0986119886632628,0.0,-0.0,1.0,0.0,,,,0.9975609546701714,0.3329722048179563,0.9993235407494044,0.3335605319474777,0.9990441143439962,0.3334672632345659,,,,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,699,420,0.0006531842733324
9,3,harmonic,Piecewise Linear Fit,1.0986077208542349,0.1206458690513193,-0.1786469945614981,1.0,0.7428571428571429,,,,1.0167834117740786,0.3347493210554085,1.0107599588072105,0.3327662568475157,1.0099039006135584,0.3324844220970757,,,,0.2412917390289092,0.0260498151127745,0.0144494473824398,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,699,420,
