,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.8765778724855972,0.9295009008273499,0.5888420121489462,-0.17369956475152132,pieli,1.0429012728057587,1,delaunay,uniform,5000,,
pagerank,0.8861518025761559,0.9263529586618208,0.7227799789124221,-0.22217731395214846,exp,1.0321403600444388,1,delaunay,uniform,5000,,
betweenness,0.4472503531102648,0.6460617606955079,0.4445695154625686,-0.15545456243972638,exp,1.356564246282973,1,delaunay,uniform,5000,,
closeness,0.2978733825001405,0.6012611577141183,0.26561799240004,-0.4262816750583065,exp,1.8017119483509505,1,delaunay,uniform,5000,,
harmonic,0.3916636238969046,0.6975924965383862,0.3170045415034031,-0.7106172998951736,exp,1.6263790996957666,1,delaunay,uniform,5000,,
clustering,0.9368462739086416,0.9368462739086416,0.6385827444122407,0.2161338276249175,original,1.0,1,delaunay,uniform,5000,,
degree,0.964464110042495,0.9744592108508354,0.6520453775473165,-0.1592044882434377,pieli,1.008244354470203,2,delaunay,uniform,5000,,
pagerank,0.9682779062109386,0.9755549163374635,0.7967413648234115,-0.21990815213952616,pieli,1.0057807678878334,2,delaunay,uniform,5000,,
betweenness,0.6421184578488693,0.7838587444690698,0.6399477881383584,-0.07349087325764861,exp,1.2048482812769672,2,delaunay,uniform,5000,,
closeness,0.06735626135458792,0.7091127567383942,0.04441924034094792,-0.3575018334551358,exp,2.42424797951231,2,delaunay,uniform,5000,,
harmonic,0.2685615095237017,0.7827010734282649,0.2202081303930668,-0.8130221576889021,exp,2.0548014713929694,2,delaunay,uniform,5000,,
clustering,0.9771638629947061,0.9771638629947061,0.7172824586068339,0.22406863433414348,original,1.0,2,delaunay,uniform,5000,,
degree,0.9324189057970709,0.9494287274740487,0.21289659511747325,0.5345806950096793,pieli,1.0141736214082517,1,knn,uniform,5000,5.0,
pagerank,0.9262646024732256,0.9426982651572422,0.01423887974036243,0.6672050947914676,pieli,1.0125953975606705,1,knn,uniform,5000,5.0,
betweenness,0.6905586901464137,0.7766587632352688,0.6836886296465174,0.31637914338407747,exp,1.0845808704894506,1,knn,uniform,5000,5.0,
closeness,0.18539371337109672,0.7580031433192831,0.6311756892357857,0.548958080983444,pieli,4.146814663260643,1,knn,uniform,5000,5.0,
harmonic,0.3713418118291187,0.9004502724057499,0.5132752471554125,0.7599928928015609,exp,2.4794333225003156,1,knn,uniform,5000,5.0,
clustering,0.8642530925204034,0.89974443727,0.2614627542399469,0.5121213397025032,pieli,1.0337261933627042,1,knn,uniform,5000,5.0,
degree,0.981623303132981,0.9845091781254842,0.2164294449106185,0.5649259725847942,pieli,1.0076220553555975,2,knn,uniform,5000,5.0,
pagerank,0.9791353415183053,0.9826051648842012,-0.00679388665021952,0.6761765180383226,pieli,1.007756432595486,2,knn,uniform,5000,5.0,
betweenness,0.8551739832136764,0.8598444065184883,0.7483710336834837,0.14406703865761122,pieli,1.0052553363413823,2,knn,uniform,5000,5.0,
closeness,0.15602689399660075,0.8231036105866645,0.04540267189488176,0.07656467885652776,pieli,3.9101862027337155,2,knn,uniform,5000,5.0,
harmonic,0.39080496279207366,0.8726474229906013,0.45224054564507143,0.6946227335180764,pieli,2.164178425353079,2,knn,uniform,5000,5.0,
clustering,0.9613692662547935,0.9725567447342819,0.29320527730795143,0.5511147246987699,exp,1.014323698192012,2,knn,uniform,5000,5.0,
degree,0.8697737868114825,0.9145331431365287,0.12596739146121003,0.6010791116483323,pieli,1.0548722027955701,1,knn,uniform,5000,10.0,
pagerank,0.8570810003025658,0.8981204030344794,-0.11503845257862635,0.7006819145791262,pieli,1.046759897478491,1,knn,uniform,5000,10.0,
betweenness,0.5770122596525877,0.6766666360220633,0.5913375549240598,0.5166165884008452,pieli,1.098188448828075,1,knn,uniform,5000,10.0,
closeness,-0.240943616849128,0.5212287850182098,0.6085438600626278,0.9542078736494493,pieli,5.031517024012734,1,knn,uniform,5000,10.0,
harmonic,-0.06279246010195957,0.6907375411269238,0.6243781814765296,0.8976073871196693,pieli,3.644813911091763,1,knn,uniform,5000,10.0,
clustering,0.8057352458512161,0.895372458449559,0.18446818160100842,0.7594850736623492,exp,1.1182673539543218,1,knn,uniform,5000,10.0,
degree,0.9609092975552325,0.9738433641763471,0.1399607453572575,0.6421198560159513,pieli,1.019675758216978,2,knn,uniform,5000,10.0,
pagerank,0.9564495888605837,0.9692309691486748,-0.20102591979948908,0.7329686002304434,pieli,1.0187766538710494,2,knn,uniform,5000,10.0,
betweenness,0.78939845963236,0.7926943732274877,0.7039694530142417,0.19208751118727058,pieli,1.0053869472140695,2,knn,uniform,5000,10.0,
closeness,0.23103226735502658,0.7405273277424984,0.5181764189471225,0.9539011573603787,pieli,5.9789567377989785,2,knn,uniform,5000,10.0,
harmonic,0.2795854905408596,0.8770426465972027,0.6470292052177411,0.8839342491649429,exp,3.927626965135033,2,knn,uniform,5000,10.0,
clustering,0.9301148167766488,0.9711814295547254,0.23693376533506355,0.7482660093803981,pieli,1.041618602083289,2,knn,uniform,5000,10.0,
degree,0.8243795332526053,0.8868495165023593,0.06994284729160481,0.7296151415112375,pieli,1.1409110236897972,1,knn,uniform,5000,15.0,
pagerank,0.8048488002110573,0.8649479601952232,-0.2684807505771252,0.7904224247172867,pieli,1.1308453828297287,1,knn,uniform,5000,15.0,
betweenness,0.6741758909661706,0.7504991539961806,0.7135957984794146,0.6122331599007349,pieli,1.1547591366659193,1,knn,uniform,5000,15.0,
closeness,0.10753193284244869,0.688731357354295,0.6730235339360745,0.9806094183079019,pieli,6.161752326685067,1,knn,uniform,5000,15.0,
harmonic,0.17575959776380817,0.6900173101613603,0.687517687172062,0.9091371215218857,pieli,4.4336566957643715,1,knn,uniform,5000,15.0,
clustering,0.7214954256968513,0.8863950264723867,0.23864192519681832,0.8440576669249986,pieli,1.2350692373676213,1,knn,uniform,5000,15.0,
degree,0.907983502489309,0.9485077077790177,0.0655787841267596,0.6749330677658361,pieli,1.0334211371945483,2,knn,uniform,5000,15.0,
pagerank,0.9025877338259527,0.9388424229365028,-0.2735408687604904,0.7593112766192314,pieli,1.0295110337525706,2,knn,uniform,5000,15.0,
betweenness,0.760280949667836,0.7637297060076946,0.6741310188420265,0.2548922323164181,pieli,1.005085139889763,2,knn,uniform,5000,15.0,
closeness,0.037074608338144535,0.7193765310820831,0.429376365390226,0.9791173613384381,pieli,6.876546471216639,2,knn,uniform,5000,15.0,
harmonic,0.2063831449804475,0.900731678177823,0.5749077278550843,0.9144974009696024,exp,4.224873871397179,2,knn,uniform,5000,15.0,
clustering,0.9021354510119486,0.9629893776901387,0.14995270618021045,0.8384875426902074,exp,1.086007912513289,2,knn,uniform,5000,15.0,
degree,0.9916746049876329,0.9906362905194107,0.8448457468979468,0.33679228409141965,pieli,1.0013733800072597,1,rnn,uniform,5000,,1.0
pagerank,0.9868770077201606,0.9851436613276295,0.7955489263291194,0.2879217125947333,original,1.0,1,rnn,uniform,5000,,1.0
betweenness,0.9974960624721803,0.987735204428655,0.12127581382239337,0.23701436591851252,pieli,1.0061540790164742,1,rnn,uniform,5000,,1.0
closeness,0.9830404412307839,0.9818105161147312,0.030507505092724967,0.0307439098954056,exp,1.0090423636644266,1,rnn,uniform,5000,,1.0
harmonic,0.9911772820669538,0.9867666447898218,0.3924063630969713,0.4162063556740123,pieli,1.0104886243333868,1,rnn,uniform,5000,,1.0
clustering,0.9979774381749489,0.9979774381749489,0.9979774381749489,,original,1.0,1,rnn,uniform,5000,,1.0
degree,0.9923416419569193,0.9913245212066661,0.76427911622862,0.4694694850461898,pieli,1.000334327452273,2,rnn,uniform,5000,,1.0
pagerank,0.997083556449891,0.9955392099669447,0.7332461554187764,0.3727145295542036,original,1.0,2,rnn,uniform,5000,,1.0
betweenness,0.9970683766668673,0.9908084565522293,0.6285514852500619,0.28879305526250626,pieli,1.0037732371223929,2,rnn,uniform,5000,,1.0
closeness,0.9961831398099092,0.9957515086517029,-0.001964374933427911,0.0016957429243813272,pieli,1.0010122989401498,2,rnn,uniform,5000,,1.0
harmonic,0.9943555651234663,0.9912611571833302,0.4008505209551097,0.6155603859477535,pieli,1.0031427140029454,2,rnn,uniform,5000,,1.0
clustering,0.9903620700404706,0.9903620700404706,0.990291424765412,0.027733473855533843,original,1.0,2,rnn,uniform,5000,,1.0
degree,0.973047827754981,0.9745947125846872,0.49611838295672905,0.8167776103756759,pieli,1.0082061227978425,1,rnn,uniform,5000,,2.0
pagerank,0.960503451481768,0.9639365986403307,0.6172884528737899,0.6299587102318052,exp,1.0039063890233395,1,rnn,uniform,5000,,2.0
betweenness,0.6307475846252512,0.6519895157855473,0.37818249953936356,0.17171614639928234,pieli,1.022053825299553,1,rnn,uniform,5000,,2.0
closeness,0.8687397743099743,0.8610000433298673,0.6328994203195386,0.3529071727658561,pieli,1.043076445850207,1,rnn,uniform,5000,,2.0
harmonic,0.8533884136884636,0.8547163714139503,0.03881966723865382,0.7260140644854123,pieli,1.166117613513153,1,rnn,uniform,5000,,2.0
clustering,0.961517949121393,0.9641178850773231,0.7202738409045346,0.5321215055149568,pieli,1.0009071213086518,1,rnn,uniform,5000,,2.0
degree,0.9861205086883978,0.985500800127856,0.3988123812584229,0.8901523390391499,pieli,1.0099187832994128,2,rnn,uniform,5000,,2.0
pagerank,0.9882412343634868,0.9862767123720965,0.49148270073061945,0.7779413910110993,original,1.0,2,rnn,uniform,5000,,2.0
betweenness,0.9680247655998591,0.961663257900131,0.9587711610928071,0.3996844880744894,pieli,1.0104049312971317,2,rnn,uniform,5000,,2.0
closeness,0.9599260335290929,0.9417188952314393,0.7482844428359701,0.6063719076973626,pieli,1.0504300980140713,2,rnn,uniform,5000,,2.0
harmonic,0.9578469301243168,0.9425374105964153,0.0838177882020123,0.7524389685628659,pieli,1.0582797445473022,2,rnn,uniform,5000,,2.0
clustering,0.98626477732971,0.98626477732971,0.47850668959451986,0.6766696908065345,original,1.0,2,rnn,uniform,5000,,2.0
degree,0.9433583269156609,0.9874229261796346,0.3579256237246127,0.9369310402788201,pieli,1.053578029501358,1,rnn,uniform,5000,,3.0
pagerank,0.9209751363744291,0.9653195986841876,0.44985246250513344,0.869291554716279,pieli,1.0479114160247212,1,rnn,uniform,5000,,3.0
betweenness,0.6886433870705196,0.7924645009336669,0.5762483660779898,0.6448074915713041,pieli,1.120886474164767,1,rnn,uniform,5000,,3.0
closeness,-0.24547642004261253,-0.23811181606007997,-0.2592957703138468,-0.014754998087868905,pieli,1.0066885357615614,1,rnn,uniform,5000,,3.0
harmonic,0.44392750799228053,0.7482142044414125,0.4465092963992649,0.9006398977501726,exp,1.7032852959892253,1,rnn,uniform,5000,,3.0
clustering,0.8624039527965157,0.892602050776938,0.5216243422739852,0.7532235381590471,pieli,1.0264757559121374,1,rnn,uniform,5000,,3.0
degree,0.9865440611614533,0.9929777696193247,0.2464517279607563,0.9572276302209131,exp,1.0181385931807099,2,rnn,uniform,5000,,3.0
pagerank,0.9817998278626826,0.9837864539025754,0.32970478196846287,0.9214708503597194,exp,1.0075687314766146,2,rnn,uniform,5000,,3.0
betweenness,0.8776379109822893,0.8898544476307066,0.7053351660481114,0.6657834816347757,pieli,1.0159290097289997,2,rnn,uniform,5000,,3.0
closeness,-0.13076386850537164,-0.6707285689990287,0.060272509820632744,0.9957524821034069,pieli,5.303227130381933,2,rnn,uniform,5000,,3.0
harmonic,0.6664577346079044,0.9314974586088952,0.23530078570887708,0.9861763441344713,exp,2.2820910687310585,2,rnn,uniform,5000,,3.0
clustering,0.9715441646274545,0.9814620025111978,0.39610911708283236,0.8413818531970688,exp,1.0142788774038607,2,rnn,uniform,5000,,3.0
degree,0.9299460258383913,0.956226861852792,0.5512150192889751,-0.13314059138744935,exp,1.0278798001133593,1,delaunay,kappa=1,5000,,
pagerank,0.939095838840734,0.9591319111343988,0.7579654276943338,-0.225056833973751,exp,1.0210631331302424,1,delaunay,kappa=1,5000,,
betweenness,0.4550787361075726,0.628513528686184,0.45579636508218513,-0.14917476244106076,pieli,1.3590827636662044,1,delaunay,kappa=1,5000,,
closeness,0.22933282254672002,0.32862124894013167,0.009483432881723122,-0.40215619961268834,exp,2.1116658514236324,1,delaunay,kappa=1,5000,,
harmonic,0.31660614987246105,0.5673201389108754,0.13915228255076156,-0.5454856065085028,exp,1.8965813810686383,1,delaunay,kappa=1,5000,,
clustering,0.9583398684679092,0.9583398684679092,0.6112888115007044,0.17608046325712415,original,1.0,1,delaunay,kappa=1,5000,,
degree,0.957023010285512,0.9692094850922622,0.430783795259288,-0.08700433793091723,exp,1.013413904403898,2,delaunay,kappa=1,5000,,
pagerank,0.9618519632044575,0.9708054377359201,0.7757016846367426,-0.258311834648108,exp,1.0100310315107455,2,delaunay,kappa=1,5000,,
betweenness,0.5762998200101485,0.6717007401684505,0.5779890084301145,-0.11040458312041683,pieli,1.1543852534354244,2,delaunay,kappa=1,5000,,
closeness,0.05034197175845789,0.4898061038193861,0.01630437973601426,-0.04520999371003605,exp,2.357316066157895,2,delaunay,kappa=1,5000,,
harmonic,0.22611206724192012,0.6277246947867783,0.12938239364960727,-0.09954365562090764,exp,2.0450431705945125,2,delaunay,kappa=1,5000,,
clustering,0.9738078905567202,0.9738078905567202,0.5986098459863327,0.17004803582213412,original,1.0,2,delaunay,kappa=1,5000,,
degree,0.9603228438721728,0.9661706737583826,0.22743271274533577,0.5015980569494327,exp,1.0084531954823086,1,knn,kappa=1,5000,5.0,
pagerank,0.9543326971233395,0.9602680189050375,0.056431986917099636,0.6199015311923268,pieli,1.0083258939427073,1,knn,kappa=1,5000,5.0,
betweenness,0.8005314761294846,0.8411140462586151,0.7855124641879607,0.2507440116309802,pieli,1.0653660872132475,1,knn,kappa=1,5000,5.0,
closeness,0.4657228631211074,0.7318436853893385,-0.0034457816071315796,0.04527698314551887,pieli,5.026460843051159,1,knn,kappa=1,5000,5.0,
harmonic,0.4193820752963088,0.8984765945455259,0.32605954981778573,0.7086762740043215,exp,2.8269363062482413,1,knn,kappa=1,5000,5.0,
clustering,0.9341803160779689,0.9392764752360275,0.32980424715556345,0.48858766097175416,exp,1.014765567694987,1,knn,kappa=1,5000,5.0,
degree,0.9695481611666983,0.9769564284315845,0.19963382258723023,0.270209837811642,pieli,1.00622795229003,2,knn,kappa=1,5000,5.0,
pagerank,0.966118804974604,0.9733872525383108,0.13062497307787183,0.506860971260313,pieli,1.0054461981247704,2,knn,kappa=1,5000,5.0,
betweenness,0.869661367360041,0.8752096592685107,0.8657789552743568,0.018678542741033928,pieli,1.0150418639311793,2,knn,kappa=1,5000,5.0,
closeness,0.10794609602131688,0.20748474532050143,-0.13254853420950755,-0.043442675602536826,pieli,2.4292857427279717,2,knn,kappa=1,5000,5.0,
harmonic,0.3722199024106393,0.7418415431094683,0.13010714482318714,0.006448355227284144,exp,2.022477239584311,2,knn,kappa=1,5000,5.0,
clustering,0.9547036122902937,0.9675106647043783,0.3256182750267189,0.35972134793557975,exp,1.0108134533060291,2,knn,kappa=1,5000,5.0,
degree,0.8873069765124824,0.9278252756622926,0.1009310698838538,0.3672410429490699,pieli,1.0271367071862236,1,knn,kappa=1,5000,10.0,
pagerank,0.8776873924430333,0.9150150733494669,-0.012495159915723076,0.5751555389547607,pieli,1.0255893116281491,1,knn,kappa=1,5000,10.0,
betweenness,0.7083342581664748,0.7729936981833052,0.7286511776490882,0.4036212840933685,exp,1.0638974151447789,1,knn,kappa=1,5000,10.0,
closeness,-0.2753137860080751,0.36716339700922784,-0.014804601115825928,0.18083474061534138,pieli,2.7216306455879256,1,knn,kappa=1,5000,10.0,
harmonic,0.09339697450756096,0.6009292874300449,0.18284052381357757,0.652334081432012,exp,2.8119401385205567,1,knn,kappa=1,5000,10.0,
clustering,0.8493318598108189,0.9342800259863384,0.18536842049114127,0.6111386506139911,pieli,1.1343752298070515,1,knn,kappa=1,5000,10.0,
degree,0.9710245086561338,0.9817659745657277,0.12884494035120547,0.31778497289928836,pieli,1.0121698818351552,2,knn,kappa=1,5000,10.0,
pagerank,0.9684045546521848,0.9766625276527812,-0.006822956180391127,0.5922056770506926,exp,1.0093158091068377,2,knn,kappa=1,5000,10.0,
betweenness,0.8411853898035695,0.8578803410610871,0.8244988622677368,0.06166869368700769,pieli,1.0195145520652922,2,knn,kappa=1,5000,10.0,
closeness,0.35323126017971807,0.6953687893637609,-0.024101676890831925,0.2940868268769169,pieli,2.3543791379835075,2,knn,kappa=1,5000,10.0,
harmonic,0.39976144126022223,0.8608953338560724,0.16237333236244336,0.7573909859742232,exp,2.3644848779711993,2,knn,kappa=1,5000,10.0,
clustering,0.956473526763624,0.974681279962294,0.24037862475969765,0.4810039231799944,exp,1.0140648562296912,2,knn,kappa=1,5000,10.0,
degree,0.7812790121067673,0.8650170523027598,0.06404923337936483,0.35900560219142935,pieli,1.0995882276120483,1,knn,kappa=1,5000,15.0,
pagerank,0.7657443118933556,0.8395191698172998,-0.10887397996364766,0.6561566989460275,pieli,1.0912567493132856,1,knn,kappa=1,5000,15.0,
betweenness,0.6530654726534634,0.6939039459461336,0.6682316545634188,0.449369730358131,pieli,1.0974702721619967,1,knn,kappa=1,5000,15.0,
closeness,0.07140355539803,-0.04609216929045809,0.4178528983795878,0.7131272674816056,pieli,2.5418000507985345,1,knn,kappa=1,5000,15.0,
harmonic,0.1891455252267797,0.2755455528731279,0.36037497163085114,0.5196264539914053,exp,2.6565110485806986,1,knn,kappa=1,5000,15.0,
clustering,0.7723705934124343,0.8776712240580357,0.17343664292253558,0.5981643019150337,exp,1.194943548254956,1,knn,kappa=1,5000,15.0,
degree,0.9475541868521193,0.969291090635111,0.08045742250071494,0.3028524514500283,exp,1.0200810644122795,2,knn,kappa=1,5000,15.0,
pagerank,0.9434831186697255,0.963394273051025,-0.0879923057856909,0.6167208526307655,exp,1.0180933214288592,2,knn,kappa=1,5000,15.0,
betweenness,0.7945684318121697,0.8237441360223321,0.7722106963357156,0.07644126039467444,pieli,1.03565640930213,2,knn,kappa=1,5000,15.0,
closeness,0.44858443754376054,0.6309970562487474,0.09725855285566373,0.7696484516512887,pieli,2.152173070799153,2,knn,kappa=1,5000,15.0,
harmonic,0.3326546014826539,0.7622320095449111,0.18504839564290726,0.7338852358435792,exp,2.424162454662663,2,knn,kappa=1,5000,15.0,
clustering,0.9215282799186053,0.976566866962674,0.24595554089304628,0.574690502244361,pieli,1.04646088907026,2,knn,kappa=1,5000,15.0,
degree,0.9929277249931907,0.9929277249931907,0.651856204160867,0.658057599285961,original,1.0,1,rnn,kappa=1,5000,,1.0
pagerank,0.9873456581447106,0.9840765518640234,0.7114466207192122,0.4668679586138665,original,1.0,1,rnn,kappa=1,5000,,1.0
betweenness,0.9646230926029853,0.9646230926029853,-0.004885384393212726,0.31041226834972924,original,1.0,1,rnn,kappa=1,5000,,1.0
closeness,0.9841684757302924,0.9841684757302924,0.06968182728629868,-0.018577134094765066,original,1.0,1,rnn,kappa=1,5000,,1.0
harmonic,0.9871089017515924,0.988976412417933,-0.21370689671207396,0.7256617517525479,exp,1.0000288570512417,1,rnn,kappa=1,5000,,1.0
clustering,0.9932675475920291,0.9932675475920291,0.9662952361656347,0.2865289979782435,original,1.0,1,rnn,kappa=1,5000,,1.0
degree,0.9984096279360584,0.9969630894735321,0.6076132552209697,0.7704937258334797,pieli,1.0020499558885132,2,rnn,kappa=1,5000,,1.0
pagerank,0.9979940722199876,0.9957741841448735,0.6495087572676219,0.62919693874536,original,1.0,2,rnn,kappa=1,5000,,1.0
betweenness,0.991309783677215,0.9867866059952513,0.1374263383340318,0.4812175933332281,pieli,1.0049571201803862,2,rnn,kappa=1,5000,,1.0
closeness,0.9985814948921553,0.9950205305915368,0.0802573296050752,0.017932949407618977,pieli,1.0100691902158323,2,rnn,kappa=1,5000,,1.0
harmonic,0.9970407845932473,0.989165632981134,-0.117353883665359,0.8263735622403741,pieli,1.0123316251380852,2,rnn,kappa=1,5000,,1.0
clustering,0.9993587890764863,0.9993587890764863,0.9432419093397572,0.4236539826728475,original,1.0,2,rnn,kappa=1,5000,,1.0
degree,0.9803734314366293,0.9822178257186404,0.3578503086214291,0.9311942714000784,exp,1.019216688223406,1,rnn,kappa=1,5000,,2.0
pagerank,0.9568031784460435,0.9687969906314138,0.5277875728004079,0.7867321002107437,pieli,1.013735464704565,1,rnn,kappa=1,5000,,2.0
betweenness,0.7577787318215359,0.7915700218638404,0.6709992497822009,0.4988302235040989,pieli,1.069584458712935,1,rnn,kappa=1,5000,,2.0
closeness,0.8754732793656168,0.8714613984476711,0.6145541134091059,0.6259467031646856,pieli,1.008607844058842,1,rnn,kappa=1,5000,,2.0
harmonic,0.9515059669291995,0.9650456356395791,0.40246080692730696,0.9262726975231926,exp,1.0996522227371721,1,rnn,kappa=1,5000,,2.0
clustering,0.9454279398160605,0.9454279398160605,0.6065863413077519,0.7050903756640645,original,1.0,1,rnn,kappa=1,5000,,2.0
degree,0.99565897865996,0.9956990286301668,0.09697081028719451,0.9835132522915828,exp,1.0030597127939813,2,rnn,kappa=1,5000,,2.0
pagerank,0.9874315806506605,0.9850004535779693,0.24089438417288156,0.9428527775380942,exp,1.0008762569326268,2,rnn,kappa=1,5000,,2.0
betweenness,0.9181191951636118,0.930131583014765,0.4268802641595146,0.8083201778528251,pieli,1.0091957967988077,2,rnn,kappa=1,5000,,2.0
closeness,0.9689497531226665,0.9678027169861347,0.28070837722218095,0.8016540359379811,pieli,1.0083741904608852,2,rnn,kappa=1,5000,,2.0
harmonic,0.9920570547885865,0.9922426320524806,0.019162725843872467,0.9818936242229453,pieli,1.0114157278299585,2,rnn,kappa=1,5000,,2.0
clustering,0.9883450641090756,0.9883450641090756,0.30221617433997205,0.9179325257122173,original,1.0,2,rnn,kappa=1,5000,,2.0
degree,0.9677345379900173,0.9834400761926178,0.16945260332649298,0.9850985412791307,exp,1.0439086310062289,1,rnn,kappa=1,5000,,3.0
pagerank,0.9198566569940136,0.9605626640877254,0.3071683273688383,0.9455055430745881,pieli,1.056551924591726,1,rnn,kappa=1,5000,,3.0
betweenness,0.7007390266237277,0.797800472740021,0.4640792641117425,0.7075961237731981,exp,1.151459948434904,1,rnn,kappa=1,5000,,3.0
closeness,0.6850410610889069,0.9562579818648098,-0.004437062394959494,0.9945300144638882,exp,1.6028595400059995,1,rnn,kappa=1,5000,,3.0
harmonic,0.8553414366813279,0.9725747753120687,0.03595364752929486,0.9969275531849893,exp,1.2606362685648151,1,rnn,kappa=1,5000,,3.0
clustering,0.9041497070610505,0.9494075030592982,0.37133154943178115,0.9060360854168753,pieli,1.0506919880956012,1,rnn,kappa=1,5000,,3.0
degree,0.9989988811506529,0.6293797400068601,0.17470396546433126,0.998150875014032,exp,1.4424267637950732,2,rnn,kappa=1,5000,,3.0
pagerank,0.9818234458662636,0.9847193068231244,0.0815221631544043,0.9914943998309003,exp,1.0047193057532031,2,rnn,kappa=1,5000,,3.0
betweenness,0.9400197908514996,0.9471808425719715,0.41312453244482145,0.9302300328302835,exp,1.0337521657839224,2,rnn,kappa=1,5000,,3.0
closeness,0.9677882003389964,0.9618887338716793,0.008605620166713297,0.9999901908174111,pieli,1.0059488542946395,2,rnn,kappa=1,5000,,3.0
harmonic,0.9964246745826011,0.4786146681716973,-0.15173142543332388,0.999699354262141,exp,2.1641620734555893,2,rnn,kappa=1,5000,,3.0
clustering,0.9608432933614592,0.9579631344647529,0.020350417857904434,0.9907683034406409,pieli,1.0013145112254207,2,rnn,kappa=1,5000,,3.0
degree,0.922291764574455,0.945920417039824,0.5560427069946838,-0.14639581893286094,pieli,1.024697551160272,1,delaunay,"kappa=1,3,5",5000,,
pagerank,0.9298239807687787,0.9478114411378238,0.747624381086718,-0.2435373215870081,exp,1.0176661324285086,1,delaunay,"kappa=1,3,5",5000,,
betweenness,0.4719290535521512,0.622586326819588,0.47161870118890004,-0.15533421454698274,exp,1.294688088515931,1,delaunay,"kappa=1,3,5",5000,,
closeness,0.009868791966627204,0.32398333459528195,-0.019175652207745593,-0.2715879276991918,exp,2.002073179496229,1,delaunay,"kappa=1,3,5",5000,,
harmonic,0.1667657608121742,0.5121959534323508,0.1285010194678034,-0.5134344575727314,exp,1.9006127057850342,1,delaunay,"kappa=1,3,5",5000,,
clustering,0.9540922266682277,0.9546456203294931,0.6089395577121625,0.1950724495563198,pieli,1.000191635048783,1,delaunay,"kappa=1,3,5",5000,,
degree,0.9772080711008049,0.9834197484976542,0.4361595876514746,-0.09364949486481454,exp,1.0052411846891807,2,delaunay,"kappa=1,3,5",5000,,
pagerank,0.980024574660819,0.9844603917943242,0.73085988510063,-0.24892316232153935,pieli,1.0035469911425956,2,delaunay,"kappa=1,3,5",5000,,
betweenness,0.7526112946959777,0.8374516445219715,0.7552874560192495,-0.18573791070421258,exp,1.1070135538641375,2,delaunay,"kappa=1,3,5",5000,,
closeness,0.5763478963130715,0.7276617658771904,0.20889853379578466,-0.40055019780233214,exp,1.3667542089222764,2,delaunay,"kappa=1,3,5",5000,,
harmonic,0.5576425267992515,0.8693567871454142,0.5229142020685611,-0.587567845882247,exp,1.4477342486303837,2,delaunay,"kappa=1,3,5",5000,,
