,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes
degree,Constant Fit,,0,0,1.0,0.0,,5.972461273666093,,,,,,,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0005737234652897303,,,,,,,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
betweenness,Michaelis-Menten Fit,0.9999979595081168,1.7011498155862993e-05,0.921486162646995,1.0,0.01778542742398164,1.7773936775821193,,-0.12666059222513504,1.7012665813234752e-05,0.1320520223642488,,,,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
closeness,Exponential Saturation Fit,0.9999779439096397,0.028486274635836036,0.08000854240317973,1.0,0.4624211130235227,1.4594313485294321,,,,,-0.012650405627131142,24.33246959517065,0.0853813030141442,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
clustering,Piecewise Linear Fit,0.9999998984583337,0.02189147618279557,0.0355864864617323,1.0,0.2197360872059667,1.0020179360541526,,,,,,,,0.04378295235949886,-0.7186685611102948,0.4578307492146481,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
degree,Constant Fit,,0,0,1.0,0.0,,5.964396284829721,,,,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0007739938080495358,,,,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
betweenness,Michaelis-Menten Fit,0.9999997736954225,4.307840746684943e-05,0.8900761441723409,1.0,0.01934984520123839,1.547248917608862,,-0.11166321845217761,4.308625752587313e-05,0.11854758636318813,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
closeness,Exponential Saturation Fit,0.9999801114140825,0.03441778282894627,0.08419492083378419,1.0,0.4852941176470588,1.3836833277005065,,,,,-0.014561519539142366,20.137090241660477,0.09374894500011483,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
clustering,Piecewise Linear Fit,0.9999999974085463,0.050258598098191186,0.025992552581662356,1.0,0.3397832817337461,1.000654028625772,,,,,,,,0.1005171961514246,-0.2235816204660107,0.4435491452989725,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
degree,Constant Fit,,0,0,1.0,0.0,,5.963927855711423,,,,,,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0006680026720106881,,,,,,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
betweenness,Michaelis-Menten Fit,0.9999929893912606,6.544550826233624e-05,0.8703097248274685,1.0,0.03006012024048096,1.3520153838734792,,-0.08129438597058285,6.546293914025004e-05,0.08733984619252794,,,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
closeness,Exponential Saturation Fit,0.9999959904415252,0.007942675544168548,0.04877018281998503,1.0,0.16032064128256512,1.1033644258391146,,,,,-0.008210887873036272,87.26872813630133,0.08828482766434162,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
clustering,Exponential Saturation Fit,0.9999999996175893,0.0773971165788096,0.026899065304585166,1.0,0.8730794923179692,1.0002178954511807,,,,,-0.024161069596452815,8.784723803395648,0.4550423270804913,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
degree,Constant Fit,,0,0,1.0,0.0,,5.953833470733718,,,,,,,,,,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0008244023083264633,,,,,,,,,,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
betweenness,Michaelis-Menten Fit,0.9999999994180063,5.107172578922303e-06,0.876548189081898,1.0,0.020610057708161583,1.55186530023181,,-0.1001021700440283,5.107293187421318e-06,0.10715002892235378,,,,,,,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
closeness,Piecewise Linear Fit,0.9998950599485898,0.003606499127619158,0.047492165179015444,1.0,0.0651277823577906,1.0500836161683065,,,,,,,,0.00721299825460825,-1.1447829458006016,0.09106212818506522,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
clustering,Constant Fit,,0,0,1.0,0.0,,0.4303864222248394,,,,,,,,,,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
degree,Constant Fit,,0,0,1.0,0.0,,5.977878985035784,,,,,,,,,,glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,9188,3074
pagerank,Constant Fit,,0,0,1.0,0.0,,0.00032530904359141186,,,,,,,,,,glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,9188,3074
