,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,dataset,num_edges,num_nodes,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,constant_c
degree,Michaelis-Menten Fit,0.9999226878580717,9.99995140475722e-07,-0.11204089393260556,1.0,0.0650887573964497,1.0213524739472655,2.0418492272078925,1.0000000000004622e-06,8.091127023331358,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
pagerank,Michaelis-Menten Fit,0.9999997378744016,9.99994949622704e-07,-0.093894923158775,1.0,0.0650887573964497,1.0242620294780784,0.0010272910362057002,1.0000000037348736e-06,0.004956771468205604,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
betweenness,Michaelis-Menten Fit,0.9999998948339865,0.06403389978182807,-0.9120616169434551,1.0,1.0,1.0322831055848145,0.10242562170817739,0.09296032267370417,0.004027997404602234,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
closeness,Michaelis-Menten Fit,0.9997105129957293,0.09514273259437316,-0.23522847376034595,1.0,1.0,1.4034604680758673,0.07476803523663945,0.1769575178460222,0.0849971702127495,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
clustering,Michaelis-Menten Fit,0.9998554279382948,0.0085717888333569,0.1982846997782755,1.0,0.6745562130177515,1.089706041147166,-0.3044799267578695,0.008944358782811294,0.9004556831277947,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
degree,Piecewise Linear Fit,0.9999976397232572,0.005278749515894701,-0.09908200377242897,1.0,0.08074534161490683,1.0250035957661245,,,,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,3220,644,0.010557499031795523,172.73707750051477,8.291003596209679,,,,
pagerank,Piecewise Linear Fit,0.9999978104819518,0.005065376003613077,-0.07994777172003699,1.0,0.08074534161490683,1.0258849922179822,,,,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,3220,644,0.010130752051456658,0.022904440007392786,0.0013351727809639764,,,,
betweenness,Michaelis-Menten Fit,0.9999979595545694,0.1490475242260532,-0.8195331885474091,1.0,1.0,1.0897482619085268,0.05710803579395776,0.3793076917568907,0.003547535779511473,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,3220,644,,,,,,,
closeness,Exponential Saturation Fit,0.9999983440073192,0.22700122942628967,-0.23074094529156153,1.0,1.0,2.6037469145116656,,,,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,3220,644,,,,0.14713036122317055,0.616940052422023,0.06410112335275091,
clustering,Michaelis-Menten Fit,0.9999958398964927,0.005531919194957846,0.19868852729063502,1.0,0.41770186335403725,1.0703230575900196,-0.26577143242230716,0.005659431176490315,0.7925655479647786,glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,3220,644,,,,,,,
degree,Piecewise Linear Fit,0.9999943161856162,0.011590388949250997,-0.0989092513354423,1.0,0.10432569974554708,1.029477865918232,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,3930,786,0.02318077789853144,78.64147888135231,8.303884473009774,,,,
pagerank,Piecewise Linear Fit,0.9999950793864804,0.011694969891229067,-0.07324460586483374,1.0,0.10432569974554708,1.02601008857125,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,3930,786,0.023389940094498202,0.007495812875052616,0.0011091934765445589,,,,
betweenness,Piecewise Linear Fit,0.9999946530776419,0.17869755170466353,-0.7722925500981526,1.0,0.910941475826972,1.1025013259319607,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,3930,786,0.35739510385235285,0.08067139924578069,0.0042504369844746075,,,,
closeness,Piecewise Linear Fit,0.9999769046234082,0.1854104987604931,-0.2027030659276309,1.0,0.926208651399491,2.1769149172797406,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,3930,786,0.37082099800063356,0.07731114510991755,0.056381445340032456,,,,
clustering,Piecewise Linear Fit,0.9999990876070839,0.02774124639712662,0.14069500531723914,1.0,0.2035623409669211,1.0563881190603865,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,3930,786,0.05548249279246535,-3.1033226920295323,0.6979812664696373,,,,
degree,Piecewise Linear Fit,0.9999935662848957,0.012373388404895939,-0.09822108782075147,1.0,0.1266891891891892,1.0342563299202479,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,2960,592,0.02474677680982563,73.37187179372809,8.335153070789625,,,,
pagerank,Piecewise Linear Fit,0.9999932266814046,0.012013583284177943,-0.07843155481038772,1.0,0.1266891891891892,1.0346403532371866,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,2960,592,0.024027166800523112,0.010349078285730824,0.0014608680687085017,,,,
betweenness,Piecewise Linear Fit,0.9999935495010022,0.18249512285666375,-0.7623392987761944,1.0,0.918918918918919,1.1019566539341645,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,2960,592,0.36499024610878483,0.09229572063875609,0.005250998446568048,,,,
closeness,Piecewise Linear Fit,0.9999396445079173,0.18765524167973002,-0.2144236256271125,1.0,0.9307432432432432,2.245279881218389,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,2960,592,0.375310483753369,0.09527851565885498,0.06550454908596574,,,,
clustering,Exponential Saturation Fit,0.9999995180241235,0.010323560896917366,0.16273755013987784,1.0,0.19425675675675674,1.0568933501754363,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,2960,592,,,,-0.2030327518548735,67.14225720889075,0.7253206290456818,
degree,Exponential Saturation Fit,0.9999918483947309,0.0060268322666115854,-0.06789000918421638,1.0,0.13667820069204153,1.0206901690996661,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,,,,1.2831275425974749,115.01019935829645,8.80848313552211,
pagerank,Piecewise Linear Fit,0.9999927052317507,0.01027397220190547,-0.04927159886410636,1.0,0.11678200692041522,1.0221438374580274,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,0.02054794491959064,0.0039838603934604505,0.0007897730195936082,,,,
betweenness,Piecewise Linear Fit,0.9999982962370976,0.152552814339154,-0.7253583656943939,1.0,0.828719723183391,1.0863529850498903,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,0.30510562916562795,0.06260889807232083,0.00361634644831753,,,,
closeness,Piecewise Linear Fit,0.9999897920942108,0.17879392700190644,-0.20274077850042493,1.0,0.8979238754325259,2.8119740788424004,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,0.35758785450806324,0.0709147248765936,0.04985946649642265,,,,
clustering,Michaelis-Menten Fit,0.9999989726081726,0.01966893543571602,0.19514139725356186,1.0,0.9558823529411765,1.1100599189240123,-0.20927569244434016,0.02139836129038203,0.6138657532474449,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,,,,,,,
degree,Exponential Saturation Fit,0.9999854329631525,0.002157899646095897,-0.08365894240677593,1.0,0.07965367965367966,1.012244185422432,,,,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,11550,2310,,,,1.553017832504345,321.2138162910432,8.505331062938104,
pagerank,Exponential Saturation Fit,0.9999847031154113,0.00205593748876408,-0.06839071114758344,1.0,0.07705627705627706,1.0125475719634813,,,,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,11550,2310,,,,5.568303101629384e-05,337.1432198078228,0.0003792534191903808,
betweenness,Piecewise Linear Fit,0.9999999880430409,0.2137600313032074,-0.7744267166822537,1.0,0.9783549783549783,1.0965898249066766,,,,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,11550,2310,0.42752006360945394,0.04262247015310976,0.0026538260104825894,,,,
closeness,Piecewise Linear Fit,0.9999906828778611,0.2028000650079667,-0.23093792927562165,1.0,0.9636363636363636,2.927644173392685,,,,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,11550,2310,0.4056001307928074,0.05220925018813583,0.03525994834760116,,,,
clustering,Exponential Saturation Fit,0.9999997596294056,0.010593390022779758,0.17144727041799518,1.0,0.2038961038961039,1.0645239311773176,,,,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,11550,2310,,,,-0.1891890983590934,65.43204579440422,0.6463359034766917,
degree,Piecewise Linear Fit,0.9999991406052696,0.0056614437917317986,-0.06702088905292576,1.0,0.07053941908713693,1.0110235741439952,,,,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,13255,2651,0.011322887583473745,111.57596241462613,8.793455639938362,,,,
pagerank,Piecewise Linear Fit,0.9999992312431233,0.0056372546937761454,-0.0509733030087555,1.0,0.07016220294228594,1.0099266447685291,,,,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,13255,2651,0.011274509733435986,0.003259624558634591,0.00034211399576301605,,,,
betweenness,Piecewise Linear Fit,0.9999989182131431,0.13836414570616423,-0.8283560929776502,1.0,0.7887589588834402,1.0874309496132553,,,,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,13255,2651,0.27672829194821275,0.05163957059411385,0.0014805309647365256,,,,
closeness,Piecewise Linear Fit,0.9999995059227239,0.02336964989404309,0.13829355683974903,1.0,0.19200301772915881,1.0020390504630996,,,,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,13255,2651,0.046739299771563526,-0.28288008605709125,0.05441353137994529,,,,
clustering,Piecewise Linear Fit,0.999999838266624,0.011193303925378938,0.12893540689098798,1.0,0.1067521689928329,1.0272698266655813,,,,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,13255,2651,0.022386607850401013,-6.273019490685718,0.6147971306017059,,,,
degree,Exponential Saturation Fit,0.9999709635505956,0.0031931608049605154,-0.09008971395582283,1.0,0.09703368526897939,1.0245511993439327,,,,glioma_mibitof:CHOP_907_R11C1_whole_cell.tiff,9945,1989,,,,1.6655222001314756,217.0724316242119,8.410925703841677,
pagerank,Piecewise Linear Fit,0.99999581234656,0.005860307875465779,-0.0619357965290748,1.0,0.08748114630467571,1.0261613934988054,,,,glioma_mibitof:CHOP_907_R11C1_whole_cell.tiff,9945,1989,0.011720615983643306,0.0050365384232581864,0.0004470369079092276,,,,
betweenness,Piecewise Linear Fit,0.9999998102282003,0.14276097175258495,-0.901479023082609,1.0,0.836098541980895,1.1210384312662993,,,,glioma_mibitof:CHOP_907_R11C1_whole_cell.tiff,9945,1989,0.2855219439201546,0.06880299358307315,0.0010734699575476177,,,,
closeness,Piecewise Linear Fit,0.9999961278925202,0.1970755042554731,-0.23318143413514555,1.0,0.963298139768728,2.801448834336172,,,,glioma_mibitof:CHOP_907_R11C1_whole_cell.tiff,9945,1989,0.3941510091947523,0.05764074191597696,0.03735604234660353,,,,
