,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c
degree,Piecewise Linear Fit,0.999999893990217,0.12684705218355516,0.31989603361859514,1.0,0.8194444444444444,1.000608635388218,0.25369410432263995,-0.5704791998746436,0.29857336425338005,,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0027777777777777814,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,4.808415251244068e-07,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
closeness,Michaelis-Menten Fit,0.9999999063293027,0.005195990689817812,-0.11379382399872438,0.21388888888888888,0.5194805194805194,1.0013701812863638,,,,,0.1949326601075618,0.005326832974877004,0.7496123988253379,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
clustering,Piecewise Linear Fit,,0.0,0.0,1.0,0.5083333333333333,,0.11617354639304062,0.0,0.0,,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,0.4225352112676056,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,,,
pagerank,Exponential Saturation Fit,0.9999755682379976,8.655490749870995e-05,-0.4120358313945279,1.0,0.09154929577464789,1.0031701673337987,,,,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,0.0043408040060042615,8008.178594992665,0.0030971058616771443
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,1.1748103048485889e-05,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,,,
closeness,Piecewise Linear Fit,0.9999999999430157,0.0004837461661245046,-0.45944465718084654,0.352112676056338,0.06,1.0475715137581179,0.0009674923322491744,585.6717153442714,0.3333333333333323,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,,,
clustering,Piecewise Linear Fit,0.999994125726538,0.11850007104788861,-1.85523216378959,1.0,0.7394366197183099,1.0133676681226302,0.23700014214436968,0.48772985587226647,-0.02664303611764846,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,0.171875,,,,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0078124999999999905,,,,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,9.92063492063492e-07,,,,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
closeness,Michaelis-Menten Fit,0.9999929934725857,9.999925992855506e-07,-0.17948539242018444,0.1484375,0.15789473684210525,1.0009089113863365,,,,,0.2916721599972878,1.000000000000027e-06,0.6666848459414187,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
clustering,Piecewise Linear Fit,0.9999918167533072,0.11737716178840382,-1.7845556025492815,1.0,0.828125,1.0094491572731072,0.2347543236365865,0.39270446771483736,-0.02026483590005295,,,,,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
degree,Michaelis-Menten Fit,0.9999994839431419,0.005435384902536908,-0.20978758905233272,1.0,0.3612512613521695,1.006829489363684,,,,,1.1916528200001626,0.005587092785001436,2.213425326255539,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,,,
pagerank,Exponential Saturation Fit,0.9999994430637662,0.0020512869604674923,-0.09622340780792579,1.0,0.052976791120080725,1.0024019977036693,,,,,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,8.902138114533078e-05,337.9078942120455,0.0004180657944583368
betweenness,Piecewise Linear Fit,0.9999986759453241,0.1107654934726448,-0.8118568422384539,1.0,0.7108980827447023,1.0210966199153817,0.22153098766022405,0.03098619613893732,0.000795392881738519,,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,,,
