,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,dataset,num_edges,num_nodes,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c
degree,Piecewise Linear Fit,0.9999998078241333,0.08232083037782462,0.06664701962695284,1.0,0.6041397153945667,1.0001528633025862,0.1646416607444748,-1.4733518928784815,1.9411371398433472,,,,,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.00129366106080207,,,,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
betweenness,Piecewise Linear Fit,0.9999997888368313,0.12495834713050984,0.47077598047756447,1.0,0.7787839586028461,1.0056791108723024,0.24991657136742104,-0.0002033602214284361,7.938949203694379e-05,,,,,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
closeness,Piecewise Linear Fit,0.9999988490490516,0.1083333323126302,-0.13024740985264194,0.8576972833117723,0.7285067873303167,1.0096622228712169,0.2166666646611704,0.6033625465071921,0.4364827505900501,,,,,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
clustering,Exponential Saturation Fit,0.9999999888834228,0.020917983703316118,0.17742427509374542,1.0,0.39715394566623546,1.0002249199973092,,,,,-0.08568372109119118,33.13641613831989,0.284307420944605,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
degree,Exponential Saturation Fit,0.999996947797031,0.005258697268485872,-0.30205951661958064,1.0,0.10178117048346055,1.0070279601329513,,,,,1.1784055882181275,131.809675493007,1.3614154174535726,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,,,
pagerank,Michaelis-Menten Fit,0.9999988413101176,0.002841330725808731,-0.12345433273484138,1.0,0.2010178117048346,1.0030634410450596,,,,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,0.0002855554711855453,0.002876234471138089,0.0010075566859489866
betweenness,Piecewise Linear Fit,0.9999998734704133,0.11683674780494899,0.4322579345138555,1.0,0.7086513994910941,1.004488079795,0.2336733156663258,-0.00012985931799775816,5.0272452677985234e-05,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,,,
closeness,Piecewise Linear Fit,0.9999997647593463,0.009231128180183287,0.13622251377772931,0.8982188295165394,0.07790368271954674,1.0056110842441088,0.018462256360178668,-9.825573863705069,0.7565318322750503,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.4513177026535805,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,,,
degree,Exponential Saturation Fit,0.9999999589981118,0.06685358838505992,-0.5646869175739918,1.0,0.8028169014084507,1.0197036173421246,,,,,0.8630554721074081,10.221060230593116,0.3293745558163476,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,,,
pagerank,Michaelis-Menten Fit,0.9999990064665072,0.09587992008363162,-0.24443990638647062,1.0,1.0,1.0045808902150624,,,,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,0.004600488318238075,0.16660393476099403,0.005194286598040742
betweenness,Piecewise Linear Fit,0.9999987357540499,0.0841535253625888,-1.2450060968885996,1.0,0.5985915492957746,1.0035298099328773,0.16830708692766735,0.00046490462835942887,-7.699180677226912e-06,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,,,
closeness,Michaelis-Menten Fit,0.99981917283016,9.999953145556762e-07,-0.4166875842623781,0.5070422535211268,0.05555555555555555,1.0287989777311806,,,,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,0.48923023080971806,1.0000000000000002e-06,0.3424308883040073
clustering,Piecewise Linear Fit,0.9999983363465087,0.07480314950397064,-0.7298443743759856,1.0,0.5140845070422535,1.0090025185133575,0.14960629901987516,1.2536305866785424,0.034711486587661065,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,3.230889235569423,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0007800312012480501,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
betweenness,Piecewise Linear Fit,0.9999989697284389,0.03427534493268298,-0.8942758154152792,1.0,0.2995319812792512,1.0109156157166175,0.0685506898906614,0.2710001186583767,0.0010981310050887688,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
closeness,Constant Fit,,0,0,0.96801872074883,0.0,,,,,0.0944052646241052,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
clustering,Piecewise Linear Fit,0.9999998669445637,0.03823529327269017,0.23377374575694443,1.0,0.31903276131045244,1.0185285422782724,0.07647058654182201,-2.1490547334435472,0.43366232202822436,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
degree,Exponential Saturation Fit,0.9999970131774292,0.008660073077248179,-0.27490473508884244,1.0,0.1911170928667564,1.0106095563144066,,,,,0.9224757018840792,80.03941471031968,1.21657192115677,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,764,743,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0013458950201884255,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,764,743,,,
betweenness,Piecewise Linear Fit,0.9999989522432826,0.027505938930040424,-1.1491559229251083,1.0,0.253028263795424,1.0022951001269085,0.05501187922251871,0.004037753128307049,-1.4415486299620302e-05,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,764,743,,,
closeness,Piecewise Linear Fit,0.9999758896075464,0.01699745079508452,0.18342088780180216,0.8977119784656796,0.18140929535232383,1.014186663666398,0.03399490158961361,-6.120335726256761,0.6711961821975742,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,764,743,,,
