,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8944197659171136,0.9374838125054605,0.6022168660136057,-0.16456572357755173,1,delaunay,uniform,5000,,
closeness,0.3876269869854153,0.4968147890736303,0.3989396676000798,-0.7711150096866175,1,delaunay,uniform,5000,,
betweenness,0.4144626325638629,0.5668152770274968,0.4188693376244983,-0.14633204504379332,1,delaunay,uniform,5000,,
harmonic,0.430686757224384,0.6846942180142936,0.35845810280102014,-0.6967279181704629,1,delaunay,uniform,5000,,
clustering,0.9365080060398634,0.9365080060398634,0.6104974106360944,0.20203436854235257,1,delaunay,uniform,5000,,
pagerank,0.9033335650330683,0.94088906262609,0.7366466544296242,-0.23292383116216822,1,delaunay,uniform,5000,,
degree,0.9610674294635554,0.9746804572731231,0.631806124034284,-0.16421567509660456,2,delaunay,uniform,5000,,
closeness,0.24117091908644764,0.6008768868445951,0.1815769473011623,-0.8318051243207681,2,delaunay,uniform,5000,,
betweenness,0.5871058063263719,0.7074652484247204,0.5831549995821825,-0.03750900434760193,2,delaunay,uniform,5000,,
harmonic,0.3411357039146883,0.7174596957908702,0.29147920238411396,-0.7290992737507882,2,delaunay,uniform,5000,,
clustering,0.977821218756013,0.977821218756013,0.679073176826391,0.2154567056892204,2,delaunay,uniform,5000,,
pagerank,0.9654010441905257,0.9759338799633461,0.7758338306244952,-0.20911643350468478,2,delaunay,uniform,5000,,
degree,0.9419834294319218,0.9561975015760869,0.2441959376684826,0.4880529838846551,1,knn,uniform,5000,5.0,
closeness,0.16649233176918113,0.7389241335468957,0.5144851505779313,0.9224552076420817,1,knn,uniform,5000,5.0,
betweenness,0.7288212712022137,0.7970521273434403,0.7053793818752131,0.385874078987556,1,knn,uniform,5000,5.0,
harmonic,0.4513714374762887,0.8894488123726012,0.4216915953498272,0.7762275395520644,1,knn,uniform,5000,5.0,
clustering,0.9075063674551673,0.9178180703376623,0.3109703720501855,0.6059543117074726,1,knn,uniform,5000,5.0,
pagerank,0.9371619639567561,0.9504750098750608,0.07501860525186839,0.6171228065111963,1,knn,uniform,5000,5.0,
degree,0.9766999077315729,0.9829367060025109,0.2403122028890179,0.5377140453585456,2,knn,uniform,5000,5.0,
closeness,0.3988976461776329,0.8490962057280629,-0.004069354895195745,0.08680511692851232,2,knn,uniform,5000,5.0,
betweenness,0.8896736378751868,0.8926449367372998,0.8006502273201371,0.1208446916099934,2,knn,uniform,5000,5.0,
harmonic,0.5536936245660431,0.9395999380522213,0.544193829954781,0.5435559912682123,2,knn,uniform,5000,5.0,
clustering,0.9609532487975034,0.9707357608278723,0.297502143528376,0.5809994673829633,2,knn,uniform,5000,5.0,
pagerank,0.9746707853075546,0.9799574552566038,0.025716914423158543,0.6568306542547926,2,knn,uniform,5000,5.0,
degree,0.9141540805919692,0.9493811479639191,0.13828954396418597,0.6226171441189796,1,knn,uniform,5000,10.0,
closeness,-0.22027009802246994,0.7020725727757046,0.753515659280652,0.9578488255313925,1,knn,uniform,5000,10.0,
betweenness,0.6655590699268799,0.7492777698397051,0.6901542976474974,0.5187615811388233,1,knn,uniform,5000,10.0,
harmonic,-0.027069865068289196,0.8070295898564186,0.7685084751883374,0.8589787330060468,1,knn,uniform,5000,10.0,
clustering,0.8372698007613716,0.9348485161035026,0.22564113504662558,0.7478227520616805,1,knn,uniform,5000,10.0,
pagerank,0.9047674758294673,0.9394416740135152,-0.13971893591811113,0.7371629254526955,1,knn,uniform,5000,10.0,
degree,0.9600825377362107,0.9736158893661442,0.11827276362903866,0.6234804839287936,2,knn,uniform,5000,10.0,
closeness,0.20933898317260055,0.7690961346868197,0.6493907253653624,0.9621420705082114,2,knn,uniform,5000,10.0,
betweenness,0.803597223773463,0.806400239400862,0.7320891071449798,0.18756542419597394,2,knn,uniform,5000,10.0,
harmonic,0.19666819557516385,0.8976939722623696,0.698622050544323,0.7997778028365254,2,knn,uniform,5000,10.0,
clustering,0.9288796873937313,0.9586643398114284,0.2549172962146992,0.7668203920008656,2,knn,uniform,5000,10.0,
pagerank,0.9567750485745513,0.9693514626198079,-0.17161872938124256,0.7191637902024897,2,knn,uniform,5000,10.0,
degree,0.830424037664186,0.9013754887110266,0.037506245060084015,0.7099874929782467,1,knn,uniform,5000,15.0,
closeness,0.2082457490639011,0.6693472983604599,0.49643929279935634,0.9831673867242792,1,knn,uniform,5000,15.0,
betweenness,0.6407529952262236,0.751173087510369,0.6916803445199937,0.584867041502641,1,knn,uniform,5000,15.0,
harmonic,0.17252484605794863,0.7770108305699244,0.5653706993048225,0.9335623673982777,1,knn,uniform,5000,15.0,
clustering,0.7094151770135624,0.9005813184426024,0.20972348076395353,0.8231171623473117,1,knn,uniform,5000,15.0,
pagerank,0.8106491398115977,0.8806086681406218,-0.2554062120506358,0.7807374072567335,1,knn,uniform,5000,15.0,
degree,0.9296591225221891,0.9550486348206046,0.058990082280872005,0.670315648876339,2,knn,uniform,5000,15.0,
closeness,0.12352869162523177,0.8035999606994493,0.6695689205222308,0.9675818105775968,2,knn,uniform,5000,15.0,
betweenness,0.745605863426728,0.749253407569044,0.6716946886523392,0.2028079662434068,2,knn,uniform,5000,15.0,
harmonic,0.1812960485533413,0.898995570300912,0.6876486432239084,0.8747311425466311,2,knn,uniform,5000,15.0,
clustering,0.8899644527881281,0.9599956934722587,0.16508830886149692,0.8417441281501867,2,knn,uniform,5000,15.0,
pagerank,0.9214162835429156,0.9459930710710034,-0.26780932671114127,0.7593459757974863,2,knn,uniform,5000,15.0,
degree,0.9712382984032869,0.9865021403591172,0.5019190140406677,0.8252016427250297,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9218877462621282,0.9266899554610014,0.09699846152374425,0.4058135681221686,1,rnn,uniform,5000,,0.05
harmonic,0.9504866864681841,0.9658342454649212,-0.3260525170506015,0.7417478988676709,1,rnn,uniform,5000,,0.05
clustering,0.9631836521322528,0.9578864167136533,0.6391074616731447,0.5864118463475884,1,rnn,uniform,5000,,0.05
pagerank,0.9635362284050002,0.9713729649106195,0.555964560482802,0.6527298140111637,1,rnn,uniform,5000,,0.05
degree,0.985743705576891,0.9839328423282883,0.38340767426949174,0.9262798688307402,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9583672624179708,0.9605719592556994,-0.20901103104112845,0.5632850329312287,2,rnn,uniform,5000,,0.05
harmonic,0.9748265461707057,0.9792864527176565,-0.03701135273244473,0.8635012714074425,2,rnn,uniform,5000,,0.05
clustering,0.9891336014117147,0.9891336014117147,0.4542963935574398,0.7848297546026075,2,rnn,uniform,5000,,0.05
pagerank,0.9877364787569702,0.9904274121571738,0.4258645702262733,0.8580660622675857,2,rnn,uniform,5000,,0.05
degree,0.9241403482900676,0.9750512039299022,0.26026573956175286,0.9743585195921074,1,rnn,uniform,5000,,0.1
closeness,0.22536212341107303,0.760102585566893,0.47687821787521945,0.9954324524651097,1,rnn,uniform,5000,,0.1
betweenness,0.699194539062604,0.7947226369132665,0.357396216182264,0.7904615465028257,1,rnn,uniform,5000,,0.1
harmonic,0.18535292720716448,0.8890589123643675,0.36182672852281583,0.9894539718606575,1,rnn,uniform,5000,,0.1
clustering,0.8640220637652689,0.9446449736949313,0.29635270143059134,0.9226835138800209,1,rnn,uniform,5000,,0.1
pagerank,0.90684972039318,0.9575357274139649,0.3063115392133929,0.9542852297934306,1,rnn,uniform,5000,,0.1
degree,0.9767415420784022,0.9938223413116187,0.20140248466660254,0.9688575230752197,2,rnn,uniform,5000,,0.1
closeness,0.3658586988738044,0.8563703095919708,0.19987954096118796,0.9963791750475691,2,rnn,uniform,5000,,0.1
betweenness,0.8601079184259948,0.8787994301065707,0.6486807451962022,0.6221930217974573,2,rnn,uniform,5000,,0.1
harmonic,0.5303065181711524,0.9627217478369293,0.20932317218525687,0.9888038697998414,2,rnn,uniform,5000,,0.1
clustering,0.9626846261607426,0.9825487072734476,0.38999294507802906,0.8974121692946824,2,rnn,uniform,5000,,0.1
pagerank,0.9716247919764474,0.986124782402477,0.29489786676835905,0.939267108038018,2,rnn,uniform,5000,,0.1
degree,0.7605665266068087,0.954029932490317,0.14758257618957668,0.9911066449010726,1,rnn,uniform,5000,,0.15
closeness,-0.21063734501578882,0.7273017163538542,0.33694071978208484,0.9983696378781692,1,rnn,uniform,5000,,0.15
